🔮 수호자의돌 계산기,,,,,,,,,,,유물명,레벨열,누적돌열,최대행,,유물 목록 (B9:B13에서 선택)
,,,,,,,,,,,세가지 보석,B,E,302,,세가지 보석
총 수호자의돌,"30,000",,,,,,,,,,전설의 뿔피리,J,M,52,,전설의 뿔피리
유물 가짓수,5,,,,,,,,,,황금 인장 반지,R,U,302,,황금 인장 반지
유물당 배분량,"6,000",,,,,,,,,,화염 부적,Z,AC,302,,화염 부적
총 남은 돌,356,,,,,,,,,,아누비스의 가면,AH,AK,302,,아누비스의 가면
,,,,,,,,,,,잊혀진 기억 로켓,AP,AS,302,,잊혀진 기억 로켓
번호,유물 선택,배분량,도달 레벨,사용한 돌,남은 돌,만렙 검증,,,,,요정의 목걸이,AX,BA,302,,요정의 목걸이
1,전설의 뿔피리,"5,117",50,"5,117",0,O,,,,,결의의 증표,BF,BI,302,,결의의 증표
2,잊혀진 기억 로켓,"6,052",71,"5,893",159,X,,,,,고룡의 비늘,BN,BQ,302,,고룡의 비늘
3,결의의 증표,"6,052",62,"6,007",45,X,,,,,어둠에 물든 구슬,BV,BY,302,,어둠에 물든 구슬
4,고룡의 비늘,"6,052",55,"5,901",151,X,,,,,시간의 모래시계,CD,CG,22,,시간의 모래시계
5,시간의 모래시계,"6,726",20,"6,726",0,O,,,,,,,,,,
,,,,,,,,,,,,,,,,
📌 사용법:,,,,,,,,,,,,,,,,
1. B3에 총 수호자의돌 개수 입력,,,,,,,,,,,,,,,,
2. B9~B12에 M열의 유물 목록에서 원하는 유물 이름을 정확히 입력,,,,,,,,,,,,,,,,
3. 각 유물별 도달 가능 레벨과 사용/남은 돌이 자동 계산됨,,,,,,,,,,,,,,,,
4. 유물 가짓수는 더늘릴 수 있지만 귀찮으니까 5개로 고정하겠음,,,,,,,,,,,,,,,,
5. 4가지의 유물 을 사용한다고 가정햇을때 그냥 A13열을 우클릭후 삭제 / 유물 가짓수 4로 변경,,,,,,,,,,,,,,,,
