세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,올스텟 +0,1,0,💎 200,200,,,0,최대 레벨 0 증가,2,0,💎 200,200,,,0,환생 포인트 획득량 0% 증가,1,0,💎 200,200,,,0,최종 STR 0% 증가,1,0,💎 200,200,,,0,최종 DEX 0% 증가,1,0,💎 200,200,,,0,최종 INT 0% 증가,1,0,💎 200,200,,,0,최종 LUK 0% 증가,1,0,💎 200,200,,,0,최종 공격력 0% 증가,1,0,💎 200,200,,,0,최종 크리티컬 데미지 0% 증가,2,0,💎 200,200,,,0,이세계의 재화 2배 획득 확률 0% 증가,3,0,💎 200,200,,,0,레벨업 필요 EXP 0% 증가 환생 시 RP 획득량 0% 증가 (시간 대비 RP 효율 동일),36,0, 💎 100,100
,1,올스텟 +1,1,1,-,200,,,1,최대 레벨 1 증가,3,2,-,200,,,1,환생 포인트 획득량 1% 증가,2,1,-,200,,,1,최종 STR 1% 증가,2,1,-,200,,,1,최종 DEX 1% 증가,2,1,-,200,,,1,최종 INT 1% 증가,2,1,-,200,,,1,최종 LUK 1% 증가,2,1,-,200,,,1,최종 공격력 1% 증가,3,1,-,200,,,1,최종 크리티컬 데미지 1% 증가,5,2,-,200,,,1,이세계의 재화 2배 획득 확률 0.5% 증가,8,3,-,200,,,1,레벨업 필요 EXP 10% 증가 환생 시 RP 획득량 10% 증가 (시간 대비 RP 효율 동일),43,36,,250
,2,올스텟 +2,1,2,-,200,,,2,최대 레벨 2 증가,5,5,-,200,,,2,환생 포인트 획득량 2% 증가,3,3,-,200,,,2,최종 STR 2% 증가,4,3,-,200,,,2,최종 DEX 2% 증가,4,3,-,200,,,2,최종 INT 2% 증가,4,3,-,200,,,2,최종 LUK 2% 증가,4,3,-,200,,,2,최종 공격력 2% 증가,6,4,-,200,,,2,최종 크리티컬 데미지 2% 증가,8,7,-,200,,,2,이세계의 재화 2배 획득 확률 1% 증가,13,11,-,200,,,2,레벨업 필요 EXP 20% 증가 환생 시 RP 획득량 20% 증가 (시간 대비 RP 효율 동일),52,79,,450
,3,올스텟 +3,1,3,-,200,,,3,최대 레벨 3 증가,7,10,-,200,,,3,환생 포인트 획득량 3% 증가,5,6,-,200,,,3,최종 STR 3% 증가,6,7,-,200,,,3,최종 DEX 3% 증가,6,7,-,200,,,3,최종 INT 3% 증가,6,7,-,200,,,3,최종 LUK 3% 증가,6,7,-,200,,,3,최종 공격력 3% 증가,8,10,-,200,,,3,최종 크리티컬 데미지 3% 증가,11,15,-,200,,,3,이세계의 재화 2배 획득 확률 1.5% 증가,18,24,-,200,,,3,레벨업 필요 EXP 30% 증가 환생 시 RP 획득량 30% 증가 (시간 대비 RP 효율 동일),62,131,,700
,4,올스텟 +4,1,4,-,200,,,4,최대 레벨 4 증가,11,17,-,200,,,4,환생 포인트 획득량 4% 증가,6,11,-,200,,,4,최종 STR 4% 증가,8,13,-,200,,,4,최종 DEX 4% 증가,8,13,-,200,,,4,최종 INT 4% 증가,8,13,-,200,,,4,최종 LUK 4% 증가,8,13,-,200,,,4,최종 공격력 4% 증가,11,18,-,200,,,4,최종 크리티컬 데미지 4% 증가,14,26,-,200,,,4,이세계의 재화 2배 획득 확률 2% 증가,24,42,-,200,,,4,레벨업 필요 EXP 40% 증가 환생 시 RP 획득량 40% 증가 (시간 대비 RP 효율 동일),75,193,,"1,000"
,5,올스텟 +5,2,5,💎 210,410,,,5,최대 레벨 5 증가,13,28,💎 330,530,,,5,환생 포인트 획득량 5% 증가,8,17,💎 290,490,,,5,최종 STR 5% 증가,10,21,💎 270,470,,,5,최종 DEX 5% 증가,10,21,💎 270,470,,,5,최종 INT 5% 증가,10,21,💎 270,470,,,5,최종 LUK 5% 증가,10,21,💎 270,470,,,5,최종 공격력 5% 증가,14,29,💎 290,490,,,5,최종 크리티컬 데미지 5% 증가,18,40,💎 310,510,,,5,이세계의 재화 2배 획득 확률 2.5% 증가,30,66,💎 330,530,,,5,레벨업 필요 EXP 50% 증가 환생 시 RP 획득량 50% 증가 (시간 대비 RP 효율 동일),89,268,💎 150,"1,350"
,6,올스텟 +6,2,7,-,410,,,6,최대 레벨 6 증가,17,41,-,530,,,6,환생 포인트 획득량 6% 증가,9,25,-,490,,,6,최종 STR 6% 증가,12,31,-,470,,,6,최종 DEX 6% 증가,12,31,-,470,,,6,최종 INT 6% 증가,12,31,-,470,,,6,최종 LUK 6% 증가,12,31,-,470,,,6,최종 공격력 6% 증가,16,43,-,490,,,6,최종 크리티컬 데미지 6% 증가,21,58,-,510,,,6,이세계의 재화 2배 획득 확률 3% 증가,36,96,-,530,,,6,레벨업 필요 EXP 60% 증가 환생 시 RP 획득량 60% 증가 (시간 대비 RP 효율 동일),107,357,,"1,750"
,7,올스텟 +7,2,9,-,410,,,7,최대 레벨 7 증가,19,58,-,530,,,7,환생 포인트 획득량 7% 증가,11,34,-,490,,,7,최종 STR 7% 증가,14,43,-,470,,,7,최종 DEX 7% 증가,14,43,-,470,,,7,최종 INT 7% 증가,14,43,-,470,,,7,최종 LUK 7% 증가,14,43,-,470,,,7,최종 공격력 7% 증가,19,59,-,490,,,7,최종 크리티컬 데미지 7% 증가,25,79,-,510,,,7,이세계의 재화 2배 획득 확률 3.5% 증가,43,132,-,530,,,7,레벨업 필요 EXP 70% 증가 환생 시 RP 획득량 70% 증가 (시간 대비 RP 효율 동일),129,464,,"2,200"
,8,올스텟 +8,2,11,-,410,,,8,최대 레벨 8 증가,23,77,-,530,,,8,환생 포인트 획득량 8% 증가,12,45,-,490,,,8,최종 STR 8% 증가,16,57,-,470,,,8,최종 DEX 8% 증가,16,57,-,470,,,8,최종 INT 8% 증가,16,57,-,470,,,8,최종 LUK 8% 증가,16,57,-,470,,,8,최종 공격력 8% 증가,22,78,-,490,,,8,최종 크리티컬 데미지 8% 증가,28,104,-,510,,,8,이세계의 재화 2배 획득 확률 4% 증가,49,175,-,530,,,8,레벨업 필요 EXP 80% 증가 환생 시 RP 획득량 80% 증가 (시간 대비 RP 효율 동일),155,593,,"2,700"
,9,올스텟 +9,2,13,-,410,,,9,최대 레벨 9 증가,29,100,-,530,,,9,환생 포인트 획득량 9% 증가,14,57,-,490,,,9,최종 STR 9% 증가,18,73,-,470,,,9,최종 DEX 9% 증가,18,73,-,470,,,9,최종 INT 9% 증가,18,73,-,470,,,9,최종 LUK 9% 증가,18,73,-,470,,,9,최종 공격력 9% 증가,25,100,-,490,,,9,최종 크리티컬 데미지 9% 증가,32,132,-,510,,,9,이세계의 재화 2배 획득 확률 4.5% 증가,56,224,-,530,,,9,레벨업 필요 EXP 90% 증가 환생 시 RP 획득량 90% 증가 (시간 대비 RP 효율 동일),186,748,,"3,250"
