황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,환생 포인트 획득량 0% 증가,-,0,💎 200,200
,1,환생 포인트 획득량 1% 증가,1,1,-,200
,2,환생 포인트 획득량 2% 증가,2,3,-,200
,3,환생 포인트 획득량 3% 증가,3,6,-,200
,4,환생 포인트 획득량 4% 증가,5,11,-,200
,5,환생 포인트 획득량 5% 증가,6,17,💎 290,490
,6,환생 포인트 획득량 6% 증가,8,25,-,490
,7,환생 포인트 획득량 7% 증가,9,34,-,490
,8,환생 포인트 획득량 8% 증가,11,45,-,490
,9,환생 포인트 획득량 9% 증가,12,57,-,490
,10,환생 포인트 획득량 10% 증가,14,71,💎 380,870
,11,환생 포인트 획득량 11% 증가,15,86,-,870
,12,환생 포인트 획득량 12% 증가,17,103,-,870
,13,환생 포인트 획득량 13% 증가,18,121,-,870
,14,환생 포인트 획득량 14% 증가,20,141,-,870
,15,환생 포인트 획득량 15% 증가,22,163,💎 470,"1,340"
,16,환생 포인트 획득량 16% 증가,23,186,-,"1,340"
,17,환생 포인트 획득량 17% 증가,25,211,-,"1,340"
,18,환생 포인트 획득량 18% 증가,27,238,-,"1,340"
,19,환생 포인트 획득량 19% 증가,28,266,-,"1,340"
,20,환생 포인트 획득량 20% 증가,30,296,💎 560,"1,900"
,21,환생 포인트 획득량 21% 증가,32,328,-,"1,900"
,22,환생 포인트 획득량 22% 증가,33,361,-,"1,900"
,23,환생 포인트 획득량 23% 증가,35,396,-,"1,900"
,24,환생 포인트 획득량 24% 증가,37,433,-,"1,900"
,25,환생 포인트 획득량 25% 증가,39,472,💎 650,"2,550"
,26,환생 포인트 획득량 26% 증가,40,512,-,"2,550"
,27,환생 포인트 획득량 27% 증가,42,554,-,"2,550"
,28,환생 포인트 획득량 28% 증가,44,598,-,"2,550"
,29,환생 포인트 획득량 29% 증가,46,644,-,"2,550"
,30,환생 포인트 획득량 30% 증가,47,691,💎 740,"3,290"
,31,환생 포인트 획득량 31% 증가,49,740,-,"3,290"
,32,환생 포인트 획득량 32% 증가,51,791,-,"3,290"
,33,환생 포인트 획득량 33% 증가,53,844,-,"3,290"
,34,환생 포인트 획득량 34% 증가,54,898,-,"3,290"
,35,환생 포인트 획득량 35% 증가,56,954,💎 830,"4,120"
,36,환생 포인트 획득량 36% 증가,58,"1,012",-,"4,120"
,37,환생 포인트 획득량 37% 증가,60,"1,072",-,"4,120"
,38,환생 포인트 획득량 38% 증가,62,"1,134",-,"4,120"
,39,환생 포인트 획득량 39% 증가,63,"1,197",-,"4,120"
,40,환생 포인트 획득량 40% 증가,65,"1,262",💎 920,"5,040"
,41,환생 포인트 획득량 41% 증가,67,"1,329",-,"5,040"
,42,환생 포인트 획득량 42% 증가,69,"1,398",-,"5,040"
