잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 INT 0% 증가,-,0,💎 200,200
,1,최종 INT 1% 증가,1,1,-,200
,2,최종 INT 2% 증가,2,3,-,200
,3,최종 INT 3% 증가,4,7,-,200
,4,최종 INT 4% 증가,6,13,-,200
,5,최종 INT 5% 증가,8,21,💎 270,470
,6,최종 INT 6% 증가,10,31,-,470
,7,최종 INT 7% 증가,12,43,-,470
,8,최종 INT 8% 증가,14,57,-,470
,9,최종 INT 9% 증가,16,73,-,470
,10,최종 INT 10% 증가,18,91,💎 340,810
,11,최종 INT 11% 증가,20,111,-,810
,12,최종 INT 12% 증가,22,133,-,810
,13,최종 INT 13% 증가,24,157,-,810
,14,최종 INT 14% 증가,27,184,-,810
,15,최종 INT 15% 증가,29,213,💎 410,"1,220"
,16,최종 INT 16% 증가,31,244,-,"1,220"
,17,최종 INT 17% 증가,34,278,-,"1,220"
,18,최종 INT 18% 증가,36,314,-,"1,220"
,19,최종 INT 19% 증가,38,352,-,"1,220"
,20,최종 INT 20% 증가,41,393,💎 480,"1,700"
,21,최종 INT 21% 증가,43,436,-,"1,700"
,22,최종 INT 22% 증가,45,481,-,"1,700"
,23,최종 INT 23% 증가,48,529,-,"1,700"
,24,최종 INT 24% 증가,50,579,-,"1,700"
,25,최종 INT 25% 증가,53,632,💎 550,"2,250"
,26,최종 INT 26% 증가,55,687,-,"2,250"
,27,최종 INT 27% 증가,58,745,-,"2,250"
,28,최종 INT 28% 증가,60,805,-,"2,250"
,29,최종 INT 29% 증가,63,868,-,"2,250"
,30,최종 INT 30% 증가,65,933,💎 620,"2,870"
,31,최종 INT 31% 증가,68,"1,001",-,"2,870"
,32,최종 INT 32% 증가,70,"1,071",-,"2,870"
,33,최종 INT 33% 증가,73,"1,144",-,"2,870"
,34,최종 INT 34% 증가,75,"1,219",-,"2,870"
,35,최종 INT 35% 증가,78,"1,297",💎 690,"3,560"
,36,최종 INT 36% 증가,81,"1,378",-,"3,560"
,37,최종 INT 37% 증가,83,"1,461",-,"3,560"
,38,최종 INT 38% 증가,86,"1,547",-,"3,560"
,39,최종 INT 39% 증가,88,"1,635",-,"3,560"
,40,최종 INT 40% 증가,91,"1,726",💎 760,"4,320"
,41,최종 INT 41% 증가,94,"1,820",-,"4,320"
,42,최종 INT 42% 증가,96,"1,916",-,"4,320"
,43,최종 INT 43% 증가,99,"2,015",-,"4,320"
,44,최종 INT 44% 증가,102,"2,117",-,"4,320"
,45,최종 INT 45% 증가,104,"2,221",💎 830,"5,150"
,46,최종 INT 46% 증가,107,"2,328",-,"5,150"
,47,최종 INT 47% 증가,110,"2,438",-,"5,150"
,48,최종 INT 48% 증가,112,"2,550",-,"5,150"
,49,최종 INT 49% 증가,115,"2,665",-,"5,150"
,50,최종 INT 50% 증가,118,"2,783",💎 900,"6,050"
,51,최종 INT 51% 증가,121,"2,904",-,"6,050"
,52,최종 INT 52% 증가,123,"3,027",-,"6,050"
,53,최종 INT 53% 증가,126,"3,153",-,"6,050"
,54,최종 INT 54% 증가,129,"3,282",-,"6,050"
,55,최종 INT 55% 증가,131,"3,413",💎 970,"7,020"
,56,최종 INT 56% 증가,134,"3,547",-,"7,020"
