세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,올스텟 +0,-,0,💎 200,200
,1,올스텟 +1,1,1,-,200
,2,올스텟 +2,1,2,-,200
,3,올스텟 +3,1,3,-,200
,4,올스텟 +4,1,4,-,200
,5,올스텟 +5,1,5,💎 210,410
,6,올스텟 +6,2,7,-,410
,7,올스텟 +7,2,9,-,410
,8,올스텟 +8,2,11,-,410
,9,올스텟 +9,2,13,-,410
,10,올스텟 +10,2,15,💎 220,630
,11,올스텟 +11,3,18,-,630
,12,올스텟 +12,3,21,-,630
,13,올스텟 +13,3,24,-,630
,14,올스텟 +14,3,27,-,630
,15,올스텟 +15,3,30,💎 230,860
,16,올스텟 +16,4,34,-,860
,17,올스텟 +17,4,38,-,860
,18,올스텟 +18,4,42,-,860
,19,올스텟 +19,4,46,-,860
,20,올스텟 +20,4,50,💎 240,"1,100"
,21,올스텟 +21,5,55,-,"1,100"
,22,올스텟 +22,5,60,-,"1,100"
,23,올스텟 +23,5,65,-,"1,100"
,24,올스텟 +24,5,70,-,"1,100"
,25,올스텟 +25,5,75,💎 250,"1,350"
,26,올스텟 +26,6,81,-,"1,350"
,27,올스텟 +27,6,87,-,"1,350"
,28,올스텟 +28,6,93,-,"1,350"
,29,올스텟 +29,6,99,-,"1,350"
,30,올스텟 +30,6,105,💎 260,"1,610"
,31,올스텟 +31,7,112,-,"1,610"
,32,올스텟 +32,7,119,-,"1,610"
,33,올스텟 +33,7,126,-,"1,610"
,34,올스텟 +34,7,133,-,"1,610"
,35,올스텟 +35,7,140,💎 270,"1,880"
,36,올스텟 +36,8,148,-,"1,880"
,37,올스텟 +37,8,156,-,"1,880"
,38,올스텟 +38,8,164,-,"1,880"
,39,올스텟 +39,8,172,-,"1,880"
,40,올스텟 +40,8,180,💎 280,"2,160"
,41,올스텟 +41,9,189,-,"2,160"
,42,올스텟 +42,9,198,-,"2,160"
,43,올스텟 +43,9,207,-,"2,160"
,44,올스텟 +44,9,216,-,"2,160"
,45,올스텟 +45,9,225,💎 290,"2,450"
,46,올스텟 +46,10,235,-,"2,450"
,47,올스텟 +47,10,245,-,"2,450"
,48,올스텟 +48,10,255,-,"2,450"
,49,올스텟 +49,10,265,-,"2,450"
,50,올스텟 +50,10,275,💎 300,"2,750"
,51,올스텟 +51,11,286,-,"2,750"
,52,올스텟 +52,11,297,-,"2,750"
,53,올스텟 +53,11,308,-,"2,750"
,54,올스텟 +54,11,319,-,"2,750"
,55,올스텟 +55,11,330,💎 310,"3,060"
,56,올스텟 +56,12,342,-,"3,060"
,57,올스텟 +57,12,354,-,"3,060"
,58,올스텟 +58,12,366,-,"3,060"
,59,올스텟 +59,12,378,-,"3,060"
,60,올스텟 +60,12,390,💎 320,"3,380"
,61,올스텟 +61,13,403,-,"3,380"
,62,올스텟 +62,13,416,-,"3,380"
,63,올스텟 +63,13,429,-,"3,380"
,64,올스텟 +64,13,442,-,"3,380"
,65,올스텟 +65,13,455,💎 330,"3,710"
,66,올스텟 +66,14,469,-,"3,710"
,67,올스텟 +67,14,483,-,"3,710"
,68,올스텟 +68,14,497,-,"3,710"
,69,올스텟 +69,14,511,-,"3,710"
,70,올스텟 +70,14,525,💎 340,"4,050"
,71,올스텟 +71,15,540,-,"4,050"
,72,올스텟 +72,15,555,-,"4,050"
,73,올스텟 +73,15,570,-,"4,050"
,74,올스텟 +74,15,585,-,"4,050"
,75,올스텟 +75,15,600,💎 350,"4,400"
,76,올스텟 +76,16,616,-,"4,400"
,77,올스텟 +77,16,632,-,"4,400"
,78,올스텟 +78,16,648,-,"4,400"
,79,올스텟 +79,16,664,-,"4,400"
,80,올스텟 +80,16,680,💎 360,"4,760"
,81,올스텟 +81,17,697,-,"4,760"
,82,올스텟 +82,17,714,-,"4,760"
,83,올스텟 +83,17,731,-,"4,760"
,84,올스텟 +84,17,748,-,"4,760"
,85,올스텟 +85,17,765,💎 370,"5,130"
,86,올스텟 +86,18,783,-,"5,130"
,87,올스텟 +87,18,801,-,"5,130"
,88,올스텟 +88,18,819,-,"5,130"
,89,올스텟 +89,18,837,-,"5,130"
,90,올스텟 +90,18,855,💎 380,"5,510"
,91,올스텟 +91,19,874,-,"5,510"
,92,올스텟 +92,19,893,-,"5,510"
,93,올스텟 +93,19,912,-,"5,510"
,94,올스텟 +94,19,931,-,"5,510"
,95,올스텟 +95,19,950,💎 390,"5,900"
,96,올스텟 +96,20,970,-,"5,900"
,97,올스텟 +97,20,990,-,"5,900"
,98,올스텟 +98,20,"1,010",-,"5,900"
,99,올스텟 +99,20,"1,030",-,"5,900"
,100,올스텟 +100,20,"1,050",💎 400,"6,300"
,101,올스텟 +101,21,"1,071",-,"6,300"
,102,올스텟 +102,21,"1,092",-,"6,300"
,103,올스텟 +103,21,"1,113",-,"6,300"
,104,올스텟 +104,21,"1,134",-,"6,300"
,105,올스텟 +105,21,"1,155",💎 410,"6,710"
,106,올스텟 +106,22,"1,177",-,"6,710"
,107,올스텟 +107,22,"1,199",-,"6,710"
,108,올스텟 +108,22,"1,221",-,"6,710"
,109,올스텟 +109,22,"1,243",-,"6,710"
,110,올스텟 +110,22,"1,265",💎 420,"7,130"
,111,올스텟 +111,23,"1,288",-,"7,130"
,112,올스텟 +112,23,"1,311",-,"7,130"
,113,올스텟 +113,23,"1,334",-,"7,130"
,114,올스텟 +114,23,"1,357",-,"7,130"
,115,올스텟 +115,23,"1,380",💎 430,"7,560"
,116,올스텟 +116,24,"1,404",-,"7,560"
,117,올스텟 +117,24,"1,428",-,"7,560"
,118,올스텟 +118,24,"1,452",-,"7,560"
,119,올스텟 +119,24,"1,476",-,"7,560"
,120,올스텟 +120,24,"1,500",💎 440,"8,000"
,121,올스텟 +121,25,"1,525",-,"8,000"
,122,올스텟 +122,25,"1,550",-,"8,000"
,123,올스텟 +123,25,"1,575",-,"8,000"
,124,올스텟 +124,25,"1,600",-,"8,000"
,125,올스텟 +125,25,"1,625",💎 450,"8,450"
,126,올스텟 +126,26,"1,651",-,"8,450"
,127,올스텟 +127,26,"1,677",-,"8,450"
,128,올스텟 +128,26,"1,703",-,"8,450"
,129,올스텟 +129,26,"1,729",-,"8,450"
,130,올스텟 +130,26,"1,755",💎 460,"8,910"
,131,올스텟 +131,27,"1,782",-,"8,910"
,132,올스텟 +132,27,"1,809",-,"8,910"
,133,올스텟 +133,27,"1,836",-,"8,910"
,134,올스텟 +134,27,"1,863",-,"8,910"
,135,올스텟 +135,27,"1,890",💎 470,"9,380"
,136,올스텟 +136,28,"1,918",-,"9,380"
,137,올스텟 +137,28,"1,946",-,"9,380"
,138,올스텟 +138,28,"1,974",-,"9,380"
,139,올스텟 +139,28,"2,002",-,"9,380"
,140,올스텟 +140,28,"2,030",💎 480,"9,860"
,141,올스텟 +141,29,"2,059",-,"9,860"
,142,올스텟 +142,29,"2,088",-,"9,860"
,143,올스텟 +143,29,"2,117",-,"9,860"
,144,올스텟 +144,29,"2,146",-,"9,860"
,145,올스텟 +145,29,"2,175",💎 490,"10,350"
,146,올스텟 +146,30,"2,205",-,"10,350"
,147,올스텟 +147,30,"2,235",-,"10,350"
,148,올스텟 +148,30,"2,265",-,"10,350"
,149,올스텟 +149,30,"2,295",-,"10,350"
,150,올스텟 +150,30,"2,325",💎 500,"10,850"
,151,올스텟 +151,31,"2,356",-,"10,850"
,152,올스텟 +152,31,"2,387",-,"10,850"
,153,올스텟 +153,31,"2,418",-,"10,850"
,154,올스텟 +154,31,"2,449",-,"10,850"
,155,올스텟 +155,31,"2,480",💎 510,"11,360"
,156,올스텟 +156,32,"2,512",-,"11,360"
,157,올스텟 +157,32,"2,544",-,"11,360"
,158,올스텟 +158,32,"2,576",-,"11,360"
,159,올스텟 +159,32,"2,608",-,"11,360"
,160,올스텟 +160,32,"2,640",💎 520,"11,880"
,161,올스텟 +161,33,"2,673",-,"11,880"
,162,올스텟 +162,33,"2,706",-,"11,880"
,163,올스텟 +163,33,"2,739",-,"11,880"
,164,올스텟 +164,33,"2,772",-,"11,880"
,165,올스텟 +165,33,"2,805",💎 530,"12,410"
,166,올스텟 +166,34,"2,839",-,"12,410"
,167,올스텟 +167,34,"2,873",-,"12,410"
,168,올스텟 +168,34,"2,907",-,"12,410"
,169,올스텟 +169,34,"2,941",-,"12,410"
,170,올스텟 +170,34,"2,975",💎 540,"12,950"
,171,올스텟 +171,35,"3,010",-,"12,950"
,172,올스텟 +172,35,"3,045",-,"12,950"
,173,올스텟 +173,35,"3,080",-,"12,950"
,174,올스텟 +174,35,"3,115",-,"12,950"
,175,올스텟 +175,35,"3,150",💎 550,"13,500"
,176,올스텟 +176,36,"3,186",-,"13,500"
,177,올스텟 +177,36,"3,222",-,"13,500"
,178,올스텟 +178,36,"3,258",-,"13,500"
,179,올스텟 +179,36,"3,294",-,"13,500"
,180,올스텟 +180,36,"3,330",💎 560,"14,060"
,181,올스텟 +181,37,"3,367",-,"14,060"
,182,올스텟 +182,37,"3,404",-,"14,060"
,183,올스텟 +183,37,"3,441",-,"14,060"
,184,올스텟 +184,37,"3,478",-,"14,060"
,185,올스텟 +185,37,"3,515",💎 570,"14,630"
,186,올스텟 +186,38,"3,553",-,"14,630"
,187,올스텟 +187,38,"3,591",-,"14,630"
,188,올스텟 +188,38,"3,629",-,"14,630"
,189,올스텟 +189,38,"3,667",-,"14,630"
,190,올스텟 +190,38,"3,705",💎 580,"15,210"
,191,올스텟 +191,39,"3,744",-,"15,210"
,192,올스텟 +192,39,"3,783",-,"15,210"
,193,올스텟 +193,39,"3,822",-,"15,210"
,194,올스텟 +194,39,"3,861",-,"15,210"
,195,올스텟 +195,39,"3,900",💎 590,"15,800"
,196,올스텟 +196,40,"3,940",-,"15,800"
,197,올스텟 +197,40,"3,980",-,"15,800"
,198,올스텟 +198,40,"4,020",-,"15,800"
,199,올스텟 +199,40,"4,060",-,"15,800"
,200,올스텟 +200,40,"4,100",💎 600,"16,400"
,201,올스텟 +201,41,"4,141",-,"16,400"
,202,올스텟 +202,41,"4,182",-,"16,400"
,203,올스텟 +203,41,"4,223",-,"16,400"
,204,올스텟 +204,41,"4,264",-,"16,400"
,205,올스텟 +205,41,"4,305",💎 610,"17,010"
,206,올스텟 +206,42,"4,347",-,"17,010"
,207,올스텟 +207,42,"4,389",-,"17,010"
,208,올스텟 +208,42,"4,431",-,"17,010"
,209,올스텟 +209,42,"4,473",-,"17,010"
,210,올스텟 +210,42,"4,515",💎 620,"17,630"
,211,올스텟 +211,43,"4,558",-,"17,630"
,212,올스텟 +212,43,"4,601",-,"17,630"
,213,올스텟 +213,43,"4,644",-,"17,630"
,214,올스텟 +214,43,"4,687",-,"17,630"
,215,올스텟 +215,43,"4,730",💎 630,"18,260"
,216,올스텟 +216,44,"4,774",-,"18,260"
,217,올스텟 +217,44,"4,818",-,"18,260"
,218,올스텟 +218,44,"4,862",-,"18,260"
,219,올스텟 +219,44,"4,906",-,"18,260"
,220,올스텟 +220,44,"4,950",💎 640,"18,900"
,221,올스텟 +221,45,"4,995",-,"18,900"
,222,올스텟 +222,45,"5,040",-,"18,900"
,223,올스텟 +223,45,"5,085",-,"18,900"
,224,올스텟 +224,45,"5,130",-,"18,900"
,225,올스텟 +225,45,"5,175",💎 650,"19,550"
,226,올스텟 +226,46,"5,221",-,"19,550"
,227,올스텟 +227,46,"5,267",-,"19,550"
,228,올스텟 +228,46,"5,313",-,"19,550"
,229,올스텟 +229,46,"5,359",-,"19,550"
,230,올스텟 +230,46,"5,405",💎 660,"20,210"
,231,올스텟 +231,47,"5,452",-,"20,210"
,232,올스텟 +232,47,"5,499",-,"20,210"
,233,올스텟 +233,47,"5,546",-,"20,210"
,234,올스텟 +234,47,"5,593",-,"20,210"
,235,올스텟 +235,47,"5,640",💎 670,"20,880"
,236,올스텟 +236,48,"5,688",-,"20,880"
,237,올스텟 +237,48,"5,736",-,"20,880"
,238,올스텟 +238,48,"5,784",-,"20,880"
,239,올스텟 +239,48,"5,832",-,"20,880"
,240,올스텟 +240,48,"5,880",💎 680,"21,560"
,241,올스텟 +241,49,"5,929",-,"21,560"
,242,올스텟 +242,49,"5,978",-,"21,560"
,243,올스텟 +243,49,"6,027",-,"21,560"
,244,올스텟 +244,49,"6,076",-,"21,560"
,245,올스텟 +245,49,"6,125",💎 690,"22,250"
,246,올스텟 +246,50,"6,175",-,"22,250"
,247,올스텟 +247,50,"6,225",-,"22,250"
,248,올스텟 +248,50,"6,275",-,"22,250"
,249,올스텟 +249,50,"6,325",-,"22,250"
,250,올스텟 +250,50,"6,375",💎 700,"22,950"
,251,올스텟 +251,51,"6,426",-,"22,950"
,252,올스텟 +252,51,"6,477",-,"22,950"
,253,올스텟 +253,51,"6,528",-,"22,950"
,254,올스텟 +254,51,"6,579",-,"22,950"
,255,올스텟 +255,51,"6,630",💎 710,"23,660"
,256,올스텟 +256,52,"6,682",-,"23,660"
,257,올스텟 +257,52,"6,734",-,"23,660"
,258,올스텟 +258,52,"6,786",-,"23,660"
,259,올스텟 +259,52,"6,838",-,"23,660"
,260,올스텟 +260,52,"6,890",💎 720,"24,380"
,261,올스텟 +261,53,"6,943",-,"24,380"
,262,올스텟 +262,53,"6,996",-,"24,380"
,263,올스텟 +263,53,"7,049",-,"24,380"
,264,올스텟 +264,53,"7,102",-,"24,380"
,265,올스텟 +265,53,"7,155",💎 730,"25,110"
,266,올스텟 +266,54,"7,209",-,"25,110"
,267,올스텟 +267,54,"7,263",-,"25,110"
,268,올스텟 +268,54,"7,317",-,"25,110"
,269,올스텟 +269,54,"7,371",-,"25,110"
,270,올스텟 +270,54,"7,425",💎 740,"25,850"
,271,올스텟 +271,55,"7,480",-,"25,850"
,272,올스텟 +272,55,"7,535",-,"25,850"
,273,올스텟 +273,55,"7,590",-,"25,850"
,274,올스텟 +274,55,"7,645",-,"25,850"
,275,올스텟 +275,55,"7,700",💎 750,"26,600"
,276,올스텟 +276,56,"7,756",-,"26,600"
,277,올스텟 +277,56,"7,812",-,"26,600"
,278,올스텟 +278,56,"7,868",-,"26,600"
,279,올스텟 +279,56,"7,924",-,"26,600"
,280,올스텟 +280,56,"7,980",💎 760,"27,360"
