결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 공격력 0% 증가,-,0,💎 200,200
,1,최종 공격력 1% 증가,1,1,-,200
,2,최종 공격력 2% 증가,3,4,-,200
,3,최종 공격력 3% 증가,6,10,-,200
,4,최종 공격력 4% 증가,8,18,-,200
,5,최종 공격력 5% 증가,11,29,💎 290,490
,6,최종 공격력 6% 증가,14,43,-,490
,7,최종 공격력 7% 증가,16,59,-,490
,8,최종 공격력 8% 증가,19,78,-,490
,9,최종 공격력 9% 증가,22,100,-,490
,10,최종 공격력 10% 증가,25,125,💎 380,870
,11,최종 공격력 11% 증가,28,153,-,870
,12,최종 공격력 12% 증가,31,184,-,870
,13,최종 공격력 13% 증가,34,218,-,870
,14,최종 공격력 14% 증가,37,255,-,870
,15,최종 공격력 15% 증가,40,295,💎 470,"1,340"
,16,최종 공격력 16% 증가,43,338,-,"1,340"
,17,최종 공격력 17% 증가,46,384,-,"1,340"
,18,최종 공격력 18% 증가,50,434,-,"1,340"
,19,최종 공격력 19% 증가,53,487,-,"1,340"
,20,최종 공격력 20% 증가,56,543,💎 560,"1,900"
,21,최종 공격력 21% 증가,59,602,-,"1,900"
,22,최종 공격력 22% 증가,62,664,-,"1,900"
,23,최종 공격력 23% 증가,66,730,-,"1,900"
,24,최종 공격력 24% 증가,69,799,-,"1,900"
,25,최종 공격력 25% 증가,72,871,💎 650,"2,550"
,26,최종 공격력 26% 증가,76,947,-,"2,550"
,27,최종 공격력 27% 증가,79,"1,026",-,"2,550"
,28,최종 공격력 28% 증가,82,"1,108",-,"2,550"
,29,최종 공격력 29% 증가,86,"1,194",-,"2,550"
,30,최종 공격력 30% 증가,89,"1,283",💎 740,"3,290"
,31,최종 공격력 31% 증가,93,"1,376",-,"3,290"
,32,최종 공격력 32% 증가,96,"1,472",-,"3,290"
,33,최종 공격력 33% 증가,100,"1,572",-,"3,290"
,34,최종 공격력 34% 증가,103,"1,675",-,"3,290"
,35,최종 공격력 35% 증가,106,"1,781",💎 830,"4,120"
,36,최종 공격력 36% 증가,110,"1,891",-,"4,120"
,37,최종 공격력 37% 증가,113,"2,004",-,"4,120"
,38,최종 공격력 38% 증가,117,"2,121",-,"4,120"
,39,최종 공격력 39% 증가,120,"2,241",-,"4,120"
,40,최종 공격력 40% 증가,124,"2,365",💎 920,"5,040"
,41,최종 공격력 41% 증가,128,"2,493",-,"5,040"
,42,최종 공격력 42% 증가,131,"2,624",-,"5,040"
,43,최종 공격력 43% 증가,135,"2,759",-,"5,040"
,44,최종 공격력 44% 증가,138,"2,897",-,"5,040"
,45,최종 공격력 45% 증가,142,"3,039","💎 1,010","6,050"
,46,최종 공격력 46% 증가,145,"3,184",-,"6,050"
,47,최종 공격력 47% 증가,149,"3,333",-,"6,050"
,48,최종 공격력 48% 증가,153,"3,486",-,"6,050"
,49,최종 공격력 49% 증가,156,"3,642",-,"6,050"
,50,최종 공격력 50% 증가,160,"3,802","💎 1,100","7,150"
,51,최종 공격력 51% 증가,164,"3,966",-,"7,150"
,52,최종 공격력 52% 증가,167,"4,133",-,"7,150"
,53,최종 공격력 53% 증가,171,"4,304",-,"7,150"
,54,최종 공격력 54% 증가,174,"4,478",-,"7,150"
,55,최종 공격력 55% 증가,178,"4,656","💎 1,190","8,340"
,56,최종 공격력 56% 증가,182,"4,838",-,"8,340"
,57,최종 공격력 57% 증가,186,"5,024",-,"8,340"
,58,최종 공격력 58% 증가,189,"5,213",-,"8,340"
,59,최종 공격력 59% 증가,193,"5,406",-,"8,340"
,60,최종 공격력 60% 증가,197,"5,603","💎 1,280","9,620"
,61,최종 공격력 61% 증가,200,"5,803",-,"9,620"
,62,최종 공격력 62% 증가,204,"6,007",-,"9,620"
,63,최종 공격력 63% 증가,208,"6,215",-,"9,620"
,64,최종 공격력 64% 증가,212,"6,427",-,"9,620"
,65,최종 공격력 65% 증가,215,"6,642","💎 1,370","10,990"
,66,최종 공격력 66% 증가,219,"6,861",-,"10,990"
,67,최종 공격력 67% 증가,223,"7,084",-,"10,990"
,68,최종 공격력 68% 증가,227,"7,311",-,"10,990"
,69,최종 공격력 69% 증가,230,"7,541",-,"10,990"
,70,최종 공격력 70% 증가,234,"7,775","💎 1,460","12,450"
,71,최종 공격력 71% 증가,238,"8,013",-,"12,450"
,72,최종 공격력 72% 증가,242,"8,255",-,"12,450"
,73,최종 공격력 73% 증가,245,"8,500",-,"12,450"
,74,최종 공격력 74% 증가,249,"8,749",-,"12,450"
,75,최종 공격력 75% 증가,253,"9,002","💎 1,550","14,000"
,76,최종 공격력 76% 증가,257,"9,259",-,"14,000"
,77,최종 공격력 77% 증가,261,"9,520",-,"14,000"
,78,최종 공격력 78% 증가,265,"9,785",-,"14,000"
,79,최종 공격력 79% 증가,268,"10,053",-,"14,000"
,80,최종 공격력 80% 증가,272,"10,325","💎 1,640","15,640"
,81,최종 공격력 81% 증가,276,"10,601",-,"15,640"
,82,최종 공격력 82% 증가,280,"10,881",-,"15,640"
,83,최종 공격력 83% 증가,284,"11,165",-,"15,640"
,84,최종 공격력 84% 증가,288,"11,453",-,"15,640"
,85,최종 공격력 85% 증가,291,"11,744","💎 1,730","17,370"
,86,최종 공격력 86% 증가,295,"12,039",-,"17,370"
,87,최종 공격력 87% 증가,299,"12,338",-,"17,370"
,88,최종 공격력 88% 증가,303,"12,641",-,"17,370"
,89,최종 공격력 89% 증가,307,"12,948",-,"17,370"
,90,최종 공격력 90% 증가,311,"13,259","💎 1,820","19,190"
,91,최종 공격력 91% 증가,315,"13,574",-,"19,190"
,92,최종 공격력 92% 증가,319,"13,893",-,"19,190"
,93,최종 공격력 93% 증가,323,"14,216",-,"19,190"
,94,최종 공격력 94% 증가,326,"14,542",-,"19,190"
,95,최종 공격력 95% 증가,330,"14,872","💎 1,910","21,100"
,96,최종 공격력 96% 증가,334,"15,206",-,"21,100"
,97,최종 공격력 97% 증가,338,"15,544",-,"21,100"
,98,최종 공격력 98% 증가,342,"15,886",-,"21,100"
,99,최종 공격력 99% 증가,346,"16,232",-,"21,100"
,100,최종 공격력 100% 증가,350,"16,582","💎 2,000","23,100"
,101,최종 공격력 101% 증가,354,"16,936",-,"23,100"
,102,최종 공격력 102% 증가,358,"17,294",-,"23,100"
,103,최종 공격력 103% 증가,362,"17,656",-,"23,100"
,104,최종 공격력 104% 증가,366,"18,022",-,"23,100"
,105,최종 공격력 105% 증가,370,"18,392","💎 2,000","25,100"
,106,최종 공격력 106% 증가,374,"18,766",-,"25,100"
,107,최종 공격력 107% 증가,378,"19,144",-,"25,100"
,108,최종 공격력 108% 증가,382,"19,526",-,"25,100"
,109,최종 공격력 109% 증가,386,"19,912",-,"25,100"
,110,최종 공격력 110% 증가,389,"20,301","💎 2,000","27,100"
,111,최종 공격력 111% 증가,393,"20,694",-,"27,100"
,112,최종 공격력 112% 증가,397,"21,091",-,"27,100"
,113,최종 공격력 113% 증가,401,"21,492",-,"27,100"
,114,최종 공격력 114% 증가,405,"21,897",-,"27,100"
,115,최종 공격력 115% 증가,409,"22,306","💎 2,000","29,100"
,116,최종 공격력 116% 증가,413,"22,719",-,"29,100"
,117,최종 공격력 117% 증가,417,"23,136",-,"29,100"
,118,최종 공격력 118% 증가,421,"23,557",-,"29,100"
,119,최종 공격력 119% 증가,425,"23,982",-,"29,100"
,120,최종 공격력 120% 증가,429,"24,411","💎 2,000","31,100"
,121,최종 공격력 121% 증가,433,"24,844",-,"31,100"
,122,최종 공격력 122% 증가,437,"25,281",-,"31,100"
,123,최종 공격력 123% 증가,441,"25,722",-,"31,100"
,124,최종 공격력 124% 증가,446,"26,168",-,"31,100"
,125,최종 공격력 125% 증가,450,"26,618","💎 2,000","33,100"
,126,최종 공격력 126% 증가,454,"27,072",-,"33,100"
,127,최종 공격력 127% 증가,458,"27,530",-,"33,100"
,128,최종 공격력 128% 증가,462,"27,992",-,"33,100"
,129,최종 공격력 129% 증가,466,"28,458",-,"33,100"
,130,최종 공격력 130% 증가,470,"28,928","💎 2,000","35,100"
,131,최종 공격력 131% 증가,474,"29,402",-,"35,100"
,132,최종 공격력 132% 증가,478,"29,880",-,"35,100"
,133,최종 공격력 133% 증가,482,"30,362",-,"35,100"
,134,최종 공격력 134% 증가,486,"30,848",-,"35,100"
,135,최종 공격력 135% 증가,490,"31,338","💎 2,000","37,100"
,136,최종 공격력 136% 증가,494,"31,832",-,"37,100"
,137,최종 공격력 137% 증가,498,"32,330",-,"37,100"
,138,최종 공격력 138% 증가,502,"32,832",-,"37,100"
,139,최종 공격력 139% 증가,506,"33,338",-,"37,100"
,140,최종 공격력 140% 증가,510,"33,848","💎 2,000","39,100"
,141,최종 공격력 141% 증가,514,"34,362",-,"39,100"
,142,최종 공격력 142% 증가,519,"34,881",-,"39,100"
,143,최종 공격력 143% 증가,523,"35,404",-,"39,100"
,144,최종 공격력 144% 증가,527,"35,931",-,"39,100"
,145,최종 공격력 145% 증가,531,"36,462","💎 2,000","41,100"
,146,최종 공격력 146% 증가,535,"36,997",-,"41,100"
,147,최종 공격력 147% 증가,539,"37,536",-,"41,100"
,148,최종 공격력 148% 증가,543,"38,079",-,"41,100"
,149,최종 공격력 149% 증가,547,"38,626",-,"41,100"
,150,최종 공격력 150% 증가,551,"39,177","💎 2,000","43,100"
,151,최종 공격력 151% 증가,555,"39,732",-,"43,100"
,152,최종 공격력 152% 증가,560,"40,292",-,"43,100"
,153,최종 공격력 153% 증가,564,"40,856",-,"43,100"
,154,최종 공격력 154% 증가,568,"41,424",-,"43,100"
,155,최종 공격력 155% 증가,572,"41,996","💎 2,000","45,100"
,156,최종 공격력 156% 증가,576,"42,572",-,"45,100"
,157,최종 공격력 157% 증가,580,"43,152",-,"45,100"
,158,최종 공격력 158% 증가,584,"43,736",-,"45,100"
,159,최종 공격력 159% 증가,588,"44,324",-,"45,100"
,160,최종 공격력 160% 증가,593,"44,917","💎 2,000","47,100"
,161,최종 공격력 161% 증가,597,"45,514",-,"47,100"
,162,최종 공격력 162% 증가,601,"46,115",-,"47,100"
,163,최종 공격력 163% 증가,605,"46,720",-,"47,100"
,164,최종 공격력 164% 증가,609,"47,329",-,"47,100"
,165,최종 공격력 165% 증가,613,"47,942","💎 2,000","49,100"
,166,최종 공격력 166% 증가,617,"48,559",-,"49,100"
,167,최종 공격력 167% 증가,622,"49,181",-,"49,100"
,168,최종 공격력 168% 증가,626,"49,807",-,"49,100"
,169,최종 공격력 169% 증가,630,"50,437",-,"49,100"
,170,최종 공격력 170% 증가,634,"51,071","💎 2,000","51,100"
,171,최종 공격력 171% 증가,638,"51,709",-,"51,100"
,172,최종 공격력 172% 증가,642,"52,351",-,"51,100"
,173,최종 공격력 173% 증가,647,"52,998",-,"51,100"
,174,최종 공격력 174% 증가,651,"53,649",-,"51,100"
,175,최종 공격력 175% 증가,655,"54,304","💎 2,000","53,100"
,176,최종 공격력 176% 증가,659,"54,963",-,"53,100"
,177,최종 공격력 177% 증가,663,"55,626",-,"53,100"
,178,최종 공격력 178% 증가,668,"56,294",-,"53,100"
,179,최종 공격력 179% 증가,672,"56,966",-,"53,100"
,180,최종 공격력 180% 증가,676,"57,642","💎 2,000","55,100"
,181,최종 공격력 181% 증가,680,"58,322",-,"55,100"
