결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 공격력 0% 증가,1,0,💎 200,200
,1,최종 공격력 1% 증가,3,1,-,200
,2,최종 공격력 2% 증가,6,4,-,200
,3,최종 공격력 3% 증가,8,10,-,200
,4,최종 공격력 4% 증가,11,18,-,200
,5,최종 공격력 5% 증가,14,29,💎 290,490
,6,최종 공격력 6% 증가,16,43,-,490
,7,최종 공격력 7% 증가,19,59,-,490
,8,최종 공격력 8% 증가,22,78,-,490
,9,최종 공격력 9% 증가,25,100,-,490
,10,최종 공격력 10% 증가,28,125,💎 380,870
,11,최종 공격력 11% 증가,31,153,-,870
,12,최종 공격력 12% 증가,34,184,-,870
,13,최종 공격력 13% 증가,37,218,-,870
,14,최종 공격력 14% 증가,40,255,-,870
,15,최종 공격력 15% 증가,43,295,💎 470,"1,340"
,16,최종 공격력 16% 증가,46,338,-,"1,340"
,17,최종 공격력 17% 증가,50,384,-,"1,340"
,18,최종 공격력 18% 증가,53,434,-,"1,340"
,19,최종 공격력 19% 증가,56,487,-,"1,340"
,20,최종 공격력 20% 증가,59,543,💎 560,"1,900"
,21,최종 공격력 21% 증가,62,602,-,"1,900"
,22,최종 공격력 22% 증가,66,664,-,"1,900"
,23,최종 공격력 23% 증가,69,730,-,"1,900"
,24,최종 공격력 24% 증가,72,799,-,"1,900"
,25,최종 공격력 25% 증가,76,871,💎 650,"2,550"
,26,최종 공격력 26% 증가,79,947,-,"2,550"
,27,최종 공격력 27% 증가,82,"1,026",-,"2,550"
,28,최종 공격력 28% 증가,86,"1,108",-,"2,550"
,29,최종 공격력 29% 증가,89,"1,194",-,"2,550"
,30,최종 공격력 30% 증가,93,"1,283",💎 740,"3,290"
,31,최종 공격력 31% 증가,96,"1,376",-,"3,290"
,32,최종 공격력 32% 증가,100,"1,472",-,"3,290"
,33,최종 공격력 33% 증가,103,"1,572",-,"3,290"
,34,최종 공격력 34% 증가,106,"1,675",-,"3,290"
,35,최종 공격력 35% 증가,110,"1,781",💎 830,"4,120"
,36,최종 공격력 36% 증가,113,"1,891",-,"4,120"
,37,최종 공격력 37% 증가,117,"2,004",-,"4,120"
,38,최종 공격력 38% 증가,120,"2,121",-,"4,120"
,39,최종 공격력 39% 증가,124,"2,241",-,"4,120"
,40,최종 공격력 40% 증가,128,"2,365",💎 920,"5,040"
,41,최종 공격력 41% 증가,131,"2,493",-,"5,040"
,42,최종 공격력 42% 증가,135,"2,624",-,"5,040"
,43,최종 공격력 43% 증가,138,"2,759",-,"5,040"
,44,최종 공격력 44% 증가,142,"2,897",-,"5,040"
,45,최종 공격력 45% 증가,145,"3,039","💎 1,010","6,050"
,46,최종 공격력 46% 증가,149,"3,184",-,"6,050"
,47,최종 공격력 47% 증가,153,"3,333",-,"6,050"
,48,최종 공격력 48% 증가,156,"3,486",-,"6,050"
,49,최종 공격력 49% 증가,160,"3,642",-,"6,050"
,50,최종 공격력 50% 증가,164,"3,802","💎 1,100","7,150"
,51,최종 공격력 51% 증가,167,"3,966",-,"7,150"
,52,최종 공격력 52% 증가,171,"4,133",-,"7,150"
,53,최종 공격력 53% 증가,174,"4,304",-,"7,150"
,54,최종 공격력 54% 증가,178,"4,478",-,"7,150"
,55,최종 공격력 55% 증가,182,"4,656","💎 1,190","8,340"
,56,최종 공격력 56% 증가,186,"4,838",-,"8,340"
,57,최종 공격력 57% 증가,189,"5,024",-,"8,340"
,58,최종 공격력 58% 증가,193,"5,213",-,"8,340"
,59,최종 공격력 59% 증가,197,"5,406",-,"8,340"
,60,최종 공격력 60% 증가,200,"5,603","💎 1,280","9,620"
,61,최종 공격력 61% 증가,204,"5,803",-,"9,620"
,62,최종 공격력 62% 증가,208,"6,007",-,"9,620"
,63,최종 공격력 63% 증가,212,"6,215",-,"9,620"
,64,최종 공격력 64% 증가,215,"6,427",-,"9,620"
,65,최종 공격력 65% 증가,219,"6,642","💎 1,370","10,990"
,66,최종 공격력 66% 증가,223,"6,861",-,"10,990"
,67,최종 공격력 67% 증가,227,"7,084",-,"10,990"
,68,최종 공격력 68% 증가,230,"7,311",-,"10,990"
,69,최종 공격력 69% 증가,234,"7,541",-,"10,990"
,70,최종 공격력 70% 증가,238,"7,775","💎 1,460","12,450"
,71,최종 공격력 71% 증가,242,"8,013",-,"12,450"
,72,최종 공격력 72% 증가,245,"8,255",-,"12,450"
,73,최종 공격력 73% 증가,249,"8,500",-,"12,450"
,74,최종 공격력 74% 증가,253,"8,749",-,"12,450"
,75,최종 공격력 75% 증가,257,"9,002","💎 1,550","14,000"
,76,최종 공격력 76% 증가,261,"9,259",-,"14,000"
,77,최종 공격력 77% 증가,265,"9,520",-,"14,000"
,78,최종 공격력 78% 증가,268,"9,785",-,"14,000"
,79,최종 공격력 79% 증가,272,"10,053",-,"14,000"
,80,최종 공격력 80% 증가,276,"10,325","💎 1,640","15,640"
,81,최종 공격력 81% 증가,280,"10,601",-,"15,640"
,82,최종 공격력 82% 증가,284,"10,881",-,"15,640"
,83,최종 공격력 83% 증가,288,"11,165",-,"15,640"
,84,최종 공격력 84% 증가,291,"11,453",-,"15,640"
,85,최종 공격력 85% 증가,295,"11,744","💎 1,730","17,370"
,86,최종 공격력 86% 증가,299,"12,039",-,"17,370"
,87,최종 공격력 87% 증가,303,"12,338",-,"17,370"
,88,최종 공격력 88% 증가,307,"12,641",-,"17,370"
,89,최종 공격력 89% 증가,311,"12,948",-,"17,370"
,90,최종 공격력 90% 증가,315,"13,259","💎 1,820","19,190"
,91,최종 공격력 91% 증가,319,"13,574",-,"19,190"
,92,최종 공격력 92% 증가,323,"13,893",-,"19,190"
,93,최종 공격력 93% 증가,326,"14,216",-,"19,190"
,94,최종 공격력 94% 증가,330,"14,542",-,"19,190"
,95,최종 공격력 95% 증가,334,"14,872","💎 1,910","21,100"
,96,최종 공격력 96% 증가,338,"15,206",-,"21,100"
,97,최종 공격력 97% 증가,342,"15,544",-,"21,100"
