요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 LUK 0% 증가,1,0,💎 200,200
,1,최종 LUK 1% 증가,2,1,-,200
,2,최종 LUK 2% 증가,4,3,-,200
,3,최종 LUK 3% 증가,6,7,-,200
,4,최종 LUK 4% 증가,8,13,-,200
,5,최종 LUK 5% 증가,10,21,💎 270,470
,6,최종 LUK 6% 증가,12,31,-,470
,7,최종 LUK 7% 증가,14,43,-,470
,8,최종 LUK 8% 증가,16,57,-,470
,9,최종 LUK 9% 증가,18,73,-,470
,10,최종 LUK 10% 증가,20,91,💎 340,810
,11,최종 LUK 11% 증가,22,111,-,810
,12,최종 LUK 12% 증가,24,133,-,810
,13,최종 LUK 13% 증가,27,157,-,810
,14,최종 LUK 14% 증가,29,184,-,810
,15,최종 LUK 15% 증가,31,213,💎 410,"1,220"
,16,최종 LUK 16% 증가,34,244,-,"1,220"
,17,최종 LUK 17% 증가,36,278,-,"1,220"
,18,최종 LUK 18% 증가,38,314,-,"1,220"
,19,최종 LUK 19% 증가,41,352,-,"1,220"
,20,최종 LUK 20% 증가,43,393,💎 480,"1,700"
,21,최종 LUK 21% 증가,45,436,-,"1,700"
,22,최종 LUK 22% 증가,48,481,-,"1,700"
,23,최종 LUK 23% 증가,50,529,-,"1,700"
,24,최종 LUK 24% 증가,53,579,-,"1,700"
,25,최종 LUK 25% 증가,55,632,💎 550,"2,250"
,26,최종 LUK 26% 증가,58,687,-,"2,250"
,27,최종 LUK 27% 증가,60,745,-,"2,250"
,28,최종 LUK 28% 증가,63,805,-,"2,250"
,29,최종 LUK 29% 증가,65,868,-,"2,250"
,30,최종 LUK 30% 증가,68,933,💎 620,"2,870"
,31,최종 LUK 31% 증가,70,"1,001",-,"2,870"
,32,최종 LUK 32% 증가,73,"1,071",-,"2,870"
,33,최종 LUK 33% 증가,75,"1,144",-,"2,870"
,34,최종 LUK 34% 증가,78,"1,219",-,"2,870"
,35,최종 LUK 35% 증가,81,"1,297",💎 690,"3,560"
,36,최종 LUK 36% 증가,83,"1,378",-,"3,560"
,37,최종 LUK 37% 증가,86,"1,461",-,"3,560"
,38,최종 LUK 38% 증가,88,"1,547",-,"3,560"
,39,최종 LUK 39% 증가,91,"1,635",-,"3,560"
,40,최종 LUK 40% 증가,94,"1,726",💎 760,"4,320"
,41,최종 LUK 41% 증가,96,"1,820",-,"4,320"
,42,최종 LUK 42% 증가,99,"1,916",-,"4,320"
,43,최종 LUK 43% 증가,102,"2,015",-,"4,320"
,44,최종 LUK 44% 증가,104,"2,117",-,"4,320"
,45,최종 LUK 45% 증가,107,"2,221",💎 830,"5,150"
,46,최종 LUK 46% 증가,110,"2,328",-,"5,150"
,47,최종 LUK 47% 증가,112,"2,438",-,"5,150"
,48,최종 LUK 48% 증가,115,"2,550",-,"5,150"
,49,최종 LUK 49% 증가,118,"2,665",-,"5,150"
,50,최종 LUK 50% 증가,121,"2,783",💎 900,"6,050"
,51,최종 LUK 51% 증가,123,"2,904",-,"6,050"
,52,최종 LUK 52% 증가,126,"3,027",-,"6,050"
,53,최종 LUK 53% 증가,129,"3,153",-,"6,050"
,54,최종 LUK 54% 증가,131,"3,282",-,"6,050"
,55,최종 LUK 55% 증가,134,"3,413",💎 970,"7,020"
,56,최종 LUK 56% 증가,137,"3,547",-,"7,020"
,57,최종 LUK 57% 증가,140,"3,684",-,"7,020"
,58,최종 LUK 58% 증가,142,"3,824",-,"7,020"
,59,최종 LUK 59% 증가,145,"3,966",-,"7,020"
,60,최종 LUK 60% 증가,148,"4,111","💎 1,040","8,060"
,61,최종 LUK 61% 증가,151,"4,259",-,"8,060"
,62,최종 LUK 62% 증가,154,"4,410",-,"8,060"
,63,최종 LUK 63% 증가,156,"4,564",-,"8,060"
,64,최종 LUK 64% 증가,159,"4,720",-,"8,060"
,65,최종 LUK 65% 증가,162,"4,879","💎 1,110","9,170"
,66,최종 LUK 66% 증가,165,"5,041",-,"9,170"
,67,최종 LUK 67% 증가,168,"5,206",-,"9,170"
,68,최종 LUK 68% 증가,170,"5,374",-,"9,170"
,69,최종 LUK 69% 증가,173,"5,544",-,"9,170"
,70,최종 LUK 70% 증가,176,"5,717","💎 1,180","10,350"
,71,최종 LUK 71% 증가,179,"5,893",-,"10,350"
,72,최종 LUK 72% 증가,182,"6,072",-,"10,350"
,73,최종 LUK 73% 증가,185,"6,254",-,"10,350"
,74,최종 LUK 74% 증가,187,"6,439",-,"10,350"
,75,최종 LUK 75% 증가,190,"6,626","💎 1,250","11,600"
,76,최종 LUK 76% 증가,193,"6,816",-,"11,600"
,77,최종 LUK 77% 증가,196,"7,009",-,"11,600"
,78,최종 LUK 78% 증가,199,"7,205",-,"11,600"
,79,최종 LUK 79% 증가,202,"7,404",-,"11,600"
,80,최종 LUK 80% 증가,205,"7,606","💎 1,320","12,920"
,81,최종 LUK 81% 증가,207,"7,811",-,"12,920"
,82,최종 LUK 82% 증가,210,"8,018",-,"12,920"
,83,최종 LUK 83% 증가,213,"8,228",-,"12,920"
,84,최종 LUK 84% 증가,216,"8,441",-,"12,920"
,85,최종 LUK 85% 증가,219,"8,657","💎 1,390","14,310"
,86,최종 LUK 86% 증가,222,"8,876",-,"14,310"
