id,level,need,cumStone,unlockGem,cumGem
threeGems,0,1,0,200,200
threeGems,1,1,1,0,200
threeGems,2,1,2,0,200
threeGems,3,1,3,0,200
threeGems,4,1,4,0,200
threeGems,5,2,5,210,410
threeGems,6,2,7,0,410
threeGems,7,2,9,0,410
threeGems,8,2,11,0,410
threeGems,9,2,13,0,410
threeGems,10,3,15,220,630
threeGems,11,3,18,0,630
threeGems,12,3,21,0,630
threeGems,13,3,24,0,630
threeGems,14,3,27,0,630
threeGems,15,4,30,230,860
threeGems,16,4,34,0,860
threeGems,17,4,38,0,860
threeGems,18,4,42,0,860
threeGems,19,4,46,0,860
threeGems,20,5,50,240,1100
threeGems,21,5,55,0,1100
threeGems,22,5,60,0,1100
threeGems,23,5,65,0,1100
threeGems,24,5,70,0,1100
threeGems,25,6,75,250,1350
threeGems,26,6,81,0,1350
threeGems,27,6,87,0,1350
threeGems,28,6,93,0,1350
threeGems,29,6,99,0,1350
threeGems,30,7,105,260,1610
threeGems,31,7,112,0,1610
threeGems,32,7,119,0,1610
threeGems,33,7,126,0,1610
threeGems,34,7,133,0,1610
threeGems,35,8,140,270,1880
threeGems,36,8,148,0,1880
threeGems,37,8,156,0,1880
threeGems,38,8,164,0,1880
threeGems,39,8,172,0,1880
threeGems,40,9,180,280,2160
threeGems,41,9,189,0,2160
threeGems,42,9,198,0,2160
threeGems,43,9,207,0,2160
threeGems,44,9,216,0,2160
threeGems,45,10,225,290,2450
threeGems,46,10,235,0,2450
threeGems,47,10,245,0,2450
threeGems,48,10,255,0,2450
threeGems,49,10,265,0,2450
threeGems,50,11,275,300,2750
threeGems,51,11,286,0,2750
threeGems,52,11,297,0,2750
threeGems,53,11,308,0,2750
threeGems,54,11,319,0,2750
threeGems,55,12,330,310,3060
threeGems,56,12,342,0,3060
threeGems,57,12,354,0,3060
threeGems,58,12,366,0,3060
threeGems,59,12,378,0,3060
threeGems,60,13,390,320,3380
threeGems,61,13,403,0,3380
threeGems,62,13,416,0,3380
threeGems,63,13,429,0,3380
threeGems,64,13,442,0,3380
threeGems,65,14,455,330,3710
threeGems,66,14,469,0,3710
threeGems,67,14,483,0,3710
threeGems,68,14,497,0,3710
threeGems,69,14,511,0,3710
threeGems,70,15,525,340,4050
threeGems,71,15,540,0,4050
threeGems,72,15,555,0,4050
threeGems,73,15,570,0,4050
threeGems,74,15,585,0,4050
threeGems,75,16,600,350,4400
threeGems,76,16,616,0,4400
threeGems,77,16,632,0,4400
threeGems,78,16,648,0,4400
threeGems,79,16,664,0,4400
threeGems,80,17,680,360,4760
threeGems,81,17,697,0,4760
threeGems,82,17,714,0,4760
threeGems,83,17,731,0,4760
threeGems,84,17,748,0,4760
threeGems,85,18,765,370,5130
threeGems,86,18,783,0,5130
threeGems,87,18,801,0,5130
threeGems,88,18,819,0,5130
threeGems,89,18,837,0,5130
threeGems,90,19,855,380,5510
threeGems,91,19,874,0,5510
threeGems,92,19,893,0,5510
threeGems,93,19,912,0,5510
threeGems,94,19,931,0,5510
threeGems,95,20,950,390,5900
threeGems,96,20,970,0,5900
threeGems,97,20,990,0,5900
threeGems,98,20,1010,0,5900
threeGems,99,20,1030,0,5900
threeGems,100,21,1050,400,6300
threeGems,101,21,1071,0,6300
threeGems,102,21,1092,0,6300
threeGems,103,21,1113,0,6300
threeGems,104,21,1134,0,6300
threeGems,105,22,1155,410,6710
threeGems,106,22,1177,0,6710
threeGems,107,22,1199,0,6710
threeGems,108,22,1221,0,6710
threeGems,109,22,1243,0,6710
threeGems,110,23,1265,420,7130
threeGems,111,23,1288,0,7130
threeGems,112,23,1311,0,7130
threeGems,113,23,1334,0,7130
threeGems,114,23,1357,0,7130
threeGems,115,24,1380,430,7560
threeGems,116,24,1404,0,7560
threeGems,117,24,1428,0,7560
threeGems,118,24,1452,0,7560
threeGems,119,24,1476,0,7560
threeGems,120,25,1500,440,8000
threeGems,121,25,1525,0,8000
threeGems,122,25,1550,0,8000
threeGems,123,25,1575,0,8000
threeGems,124,25,1600,0,8000
threeGems,125,26,1625,450,8450
threeGems,126,26,1651,0,8450
threeGems,127,26,1677,0,8450
threeGems,128,26,1703,0,8450
threeGems,129,26,1729,0,8450
threeGems,130,27,1755,460,8910
threeGems,131,27,1782,0,8910
threeGems,132,27,1809,0,8910
threeGems,133,27,1836,0,8910
threeGems,134,27,1863,0,8910
threeGems,135,28,1890,470,9380
threeGems,136,28,1918,0,9380
threeGems,137,28,1946,0,9380
threeGems,138,28,1974,0,9380
threeGems,139,28,2002,0,9380
threeGems,140,29,2030,480,9860
threeGems,141,29,2059,0,9860
threeGems,142,29,2088,0,9860
threeGems,143,29,2117,0,9860
threeGems,144,29,2146,0,9860
threeGems,145,30,2175,490,10350
threeGems,146,30,2205,0,10350
threeGems,147,30,2235,0,10350
threeGems,148,30,2265,0,10350
threeGems,149,30,2295,0,10350
threeGems,150,31,2325,500,10850
threeGems,151,31,2356,0,10850
threeGems,152,31,2387,0,10850
threeGems,153,31,2418,0,10850
threeGems,154,31,2449,0,10850
threeGems,155,32,2480,510,11360
threeGems,156,32,2512,0,11360
threeGems,157,32,2544,0,11360
threeGems,158,32,2576,0,11360
threeGems,159,32,2608,0,11360
threeGems,160,33,2640,520,11880
