레벨,보스 HP,수호자의돌
1,"2,000,000,000",11개
2,"2,860,000,000",12개
3,"4,083,018,556",13개
4,"5,819,353,767",14개
5,"8,280,280,484",15개
6,"11,762,266,474",16개
7,"16,680,591,506",17개
8,"23,615,934,346",18개
9,"33,378,810,298",19개
10,"47,098,533,665",20개
11,"66,345,810,722",21개
12,"93,301,361,243",22개
13,"130,987,416,228",23개
14,"183,584,940,579",24개
15,"256,867,506,551",25개
16,"358,793,592,398",26개
17,"500,313,621,729",27개
18,"696,467,508,682",28개
19,"967,874,434,746",29개
20,"1,342,751,161,688",30개
21,"1,859,641,144,961",31개
22,"2,571,097,669,595",32개
23,"3,548,644,907,273",33개
24,"4,889,447,338,732",34개
25,"6,725,258,391,068",35개
26,"9,234,403,763,983",36개
27,"12,657,797,159,374",37개
28,"17,320,303,267,667",38개
29,"23,659,177,143,978",39개
30,"32,261,849,080,763",40개
31,"43,916,026,315,711",41개
32,"59,675,994,110,041",42개
33,"80,950,178,402,053",43개
34,"109,616,556,011,440",44개
35,"148,174,462,105,362",45개
36,"199,943,869,535,781",46개
37,"269,326,453,541,703",47개
38,"362,146,900,365,406",48개
39,"486,098,210,593,565",49개
40,"651,321,488,977,791",50개
41,"871,159,278,144,109",51개
42,"1,163,132,351,674,676",52개
43,"1,550,203,612,623,734",53개
44,"2,062,410,064,011,266",54개
45,"2,738,965,612,844,653",55개
46,"3,630,964,826,347,361",56개
47,"4,804,852,011,442,755",57개
48,"6,346,862,765,218,146",58개
49,"8,368,698,429,602,071",59개
50,"11,014,760,087,704,086",60개
51,"14,471,350,779,144,418",61개
52,"18,978,356,006,339,808",62개
53,"24,844,037,584,381,740",63개
54,"32,463,729,523,921,500",64개
55,"42,343,412,983,160,296",65개
56,"55,129,377,583,951,688",66개
57,"71,645,457,095,185,048",67개
58,"92,939,668,724,609,632",68개
59,"120,342,498,884,649,152",69개
60,"155,539,578,197,613,024",70개
61,"200,662,090,882,982,400",71개
62,"258,398,987,342,199,296",72개
63,"332,135,935,482,736,192",73개
64,"426,126,981,142,541,376",74개
65,"545,706,119,562,128,704",75개
66,"697,547,440,871,219,968",76개
67,"889,984,240,022,909,184",77개
68,"1,133,399,517,216,803,712",78개
69,"1,440,702,685,286,926,592",79개
70,"1,827,910,097,714,041,856",80개
71,"2,314,850,272,197,864,960",81개
72,"2,926,018,472,929,692,672",82개
73,"3,691,609,698,114,801,664",83개
74,"4,648,764,171,388,897,280",84개
75,"5,843,065,234,801,385,472",85개
76,"7,330,336,169,309,078,528",86개
77,"9,178,790,011,590,521,856",87개
78,"11,471,594,980,465,143,808",88개
79,"14,309,927,759,136,931,840",89개
80,"17,816,597,685,267,701,760",90개
81,"22,140,336,958,579,056,640",91개
82,"27,460,865,355,532,435,456",92개
83,"33,994,852,699,920,977,920",93개
84,"42,002,918,516,345,667,584",94개
85,"51,797,825,906,446,065,664",95개
86,"63,754,045,721,346,342,912",96개
87,"78,318,887,506,759,073,792",97개
88,"96,025,415,372,977,913,856",98개
89,"117,507,389,739,922,440,192",99개
90,"143,516,499,613,284,646,912",100개
91,"174,942,174,373,966,774,272",101개
92,"212,834,288,637,853,794,304",102개
93,"258,429,098,100,684,718,080",103개
94,"313,178,767,852,943,179,776",104개
95,"378,784,876,747,497,865,216",105개
96,"457,236,301,220,252,811,264",106개
97,"550,851,898,562,873,655,296",107개
98,"662,328,421,952,453,083,136",108개
99,"794,794,106,342,943,621,120",109개
