이류바보 일류천재 건버드는 신이야,,,,,,,,,
,,,,,,,,,
원하는 환포 수치 (A),"1,076,906,704,977","15,000,000,000,000 ",,초월배율,윤회 배율,기본 배율,100.000%,모래시계 배율,
나의 환포 배율 (D),6.3300 ,"2,427,519,126,048 ",0초월,1,1.05,환포 수치 (RP상점),400.000%,1LV,1.10 
나의 초월 배율 (D1),1.8,"12,572,480,873,952 ",1초월,1,1.1,도감 수치(자세히보기),123.000%,2LV,1.20 
나의 초월 환포 배율 (D*D1=D2),11.394,,2초월,1.1,1.2,유물수치(반지),0.000%,3LV,1.30 
나의 모래시계 배율 (X),1.000 ,,3초월,1.15,1.3,vip,10.000%,4LV,1.40 
나의 최종배율R = (D2*X),11.394,,4초월,1.3,1.4,,,5LV,1.50 
기준 환포 (B = A ÷ R),"94,515,245,303",,5초월,1.4,1.6,나의 환포배율 ,6.3300 ,6LV,1.60 
획득 레벨 (C),485,,6초월,1.6,2,,,7LV,1.70 
해당 레벨의 환포 (B),"97,348,670,492",,7초월,1.8,2.5,,,8LV,1.80 
내 현재 레벨 (E),500,,8초월,?,?,,,9LV,1.90 
,,,9초월,?,?,,,10LV,2.00 
실제 획득 환포 (B×D2),"1,109,190,751,586",,10초월,?,?,,,11LV,2.10 
,,,,,,,,12LV,2.20 
현재 레벨의 기본 환포,"209,164,774,658",,,,,,,13LV,2.30 
,,,,,,,,14LV,2.40 
배율 적용 환포 (F = 기본×D2),"2,383,223,442,453",,,,,,,15LV,2.50 
윤회의 축복 배율,2.5,,,,,,,16LV,2.60 
윤회의 축복,"5,958,058,606,133 ",,,,,,,17LV,2.70 
,,,,,,,,18LV,2.80 
,,,,,,,,19LV,2.90 
소탕시 획득하는 경험치량,모래시계 배율,누적 경험치 비교군,도달 LV,,,,,20LV,3.00 
"3,118,418,047,861,750 ",1.00 ,"3,118,420,000,000,000 ",437 ,<이 LV를 환포 계산기에 입력후 환포 확인,,,,,
,,,,,,,,,
LV ,환포,윤회 나누기,배율나누기,역산시환포,,,,,
492,"3,962,190,240,510 ",2.5,11.394,"139,097,428,138 ",,,,,
,,,,,,,,,
,,,,,,,,,
스킬명,현재 Lv,목표 Lv,필요 RP,,이세계스킬,현재LV,목표LV,필요조각,
부스트 최대2,0,2,"300,000",,매직클로 최대20,20,20,0 ,
경험치 최대200,0,200,"10,100",,아이언 애로우 최대20,20,20,0 ,
강화 확률 증가 최대 10,0,10,"102,300,000",,썬더볼트 최대30,30,30,0 ,
SP 증가량 최대 1200,0,1200,"115,165,236,579",,피어싱 최대30,30,30,0 ,
장비 제한 레벨 감소 최대 24,0,24,"5,851",,생츄어리 최대30,30,30,0 ,
샤프 최대 55,0,55,"1,666,650,465,000",,스크류펀치(구슬),30,30,0 ,
버서크 최대 55,0,55,"1,666,650,465,000",,아이스데몬(구슬),30,30,0 ,
쉐도우 파트너 최대 55,0,55,"1,666,673,250,000",,제네시스,13,30,"823,900 ",
환포 최대 40,0,40,"47,806",,,,,0 ,
비홀더버프 최대 4,0,4,"7,600",,,,,0 ,
타겟 최대 1,0,1,"1,000,000",,,,,0 ,
강화횟수 최대 1,0,1,"500,000",,,,,0 ,
메용 최대 40,0,40,"1,666,680,000,000",,,,,0 ,
원거리마스터리 최대 25,0,25,"150,210,000",,,,,0 ,
어드밴스드 콤보어택 최대 55,0,55,"16,687,650,000,000",,,,,0 ,
파이널어택 최대 10,0,10,"10,000,000,000",,,,,0 ,
너클마스터리 최대 25,0,25,"150,210,000",,,,,0 ,
크리티컬 리인포스 최대40,0,40,"6,496,500,000,000",,,,,0 ,
오브마스터리 최대 30,0,30,"4,650,000,000,000",,,,,0 ,
아드레날린 부스터 최대 20,0,20,"21,000,000,000,000",,,,,0 ,
표21,0,0,0,,,,,0 ,
표22,0,0,0,,,,,0 ,
표23,0,0,0,,,,,0 ,
표24,0,0,0,,총합,,,"823,900 ",
표31,0,0,0,,,,,,
표32,0,0,0,,,,,,
표33,0,0,0,,,,,,
표34,0,0,0,,,,,,
표35,0,0,0,,,,,,
총합,,,"55,626,374,007,936",,,,,,
