부메랑 스텝,소모 구슬,누적 구슬,사거리,데미지
1LV,"6,900","6,900",110,"55,000%"
2LV,"8,000","14,900",112,"57,900%"
3LV,"9,200","24,100",115,"60,900%"
4LV,"10,500","34,600",119,"63,800%"
5LV,"12,000","46,600",124,"66,700%"
6LV,"14,000","60,600",130,"69,700%"
7LV,"16,100","76,700",137,"72,600%"
8LV,"18,500","95,200",144,"75,500%"
9LV,"21,200","116,400",152,"78,400%"
10LV,"24,300","140,700",161,"81,400%"
11LV,"27,900","168,600",170,"84,300%"
12LV,"32,100","200,700",180,"87,200%"
13LV,"36,900","237,600",190,"90,200%"
14LV,"42,500","280,100",201,"93,100%"
15LV,"48,800","328,900",213,"96,000%"
16LV,"56,100","385,000",225,"99,000%"
17LV,"64,500","449,500",237,"101,900%"
18LV,"74,300","523,800",250,"104,800%"
19LV,"85,400","609,200",264,"107,800%"
20LV,"98,100","707,300",278,"110,700%"
21LV,"112,800","820,100",292,"113,600%"
22LV,"129,800","949,900",307,"116,600%"
23LV,"149,300","1,099,200",322,"119,500%"
24LV,"171,600","1,270,800",338,"122,400%"
25LV,"197,400","1,468,200",354,"125,300%"
26LV,"227,000","1,695,200",370,"128,300%"
27LV,"261,000","1,956,200",387,"131,200%"
28LV,"300,200","2,256,400",404,"134,100%"
29LV,"345,200","2,601,600",421,"137,100%"
30LV,"397,000","2,998,600",440,"140,000%"
