차원의 경계,소모 조각,누적 조각,최종 데미지,최종 크리데미지
1LV,"105","105",0.15%,0%
2LV,"110","215",0.15%,0.15%
3LV,"115","330",0.3%,0.15%
4LV,"121","451",0.3%,0.3%
5LV,"127","578",0.45%,0.3%
6LV,"134","712",0.45%,0.45%
7LV,"140","852",0.6%,0.45%
8LV,"147","999",0.6%,0.6%
9LV,"155","1,154",0.75%,0.6%
10LV,"162","1,316",0.75%,0.75%
11LV,"171","1,487",0.9%,0.75%
12LV,"179","1,666",0.9%,0.9%
13LV,"188","1,854",1.05%,0.9%
14LV,"198","2,052",1.05%,1.05%
15LV,"207","2,259",1.2%,1.05%
16LV,"218","2,477",1.2%,1.2%
17LV,"229","2,706",1.35%,1.2%
18LV,"240","2,946",1.35%,1.35%
19LV,"252","3,198",1.5%,1.35%
20LV,"265","3,463",1.5%,1.5%
21LV,"278","3,741",1.65%,1.5%
22LV,"292","4,033",1.65%,1.65%
23LV,"307","4,340",1.8%,1.65%
24LV,"322","4,662",1.8%,1.8%
25LV,"338","5,000",1.95%,1.8%
26LV,"355","5,355",1.95%,1.95%
27LV,"373","5,728",2.1%,1.95%
28LV,"392","6,120",2.1%,2.1%
29LV,"411","6,531",2.25%,2.1%
30LV,"432","6,963",2.25%,2.25%
31LV,"454","7,417",2.4%,2.25%
32LV,"476","7,893",2.4%,2.4%
33LV,"500","8,393",2.55%,2.4%
34LV,"525","8,918",2.55%,2.55%
35LV,"551","9,469",2.7%,2.55%
36LV,"579","10,048",2.7%,2.7%
37LV,"608","10,656",2.85%,2.7%
38LV,"639","11,295",2.85%,2.85%
39LV,"670","11,965",3%,2.85%
40LV,"704","12,669",3%,3%
41LV,"739","13,408",3.15%,3%
42LV,"776","14,184",3.15%,3.15%
43LV,"815","14,999",3.3%,3.15%
44LV,"856","15,855",3.3%,3.3%
45LV,"899","16,754",3.45%,3.3%
46LV,"944","17,698",3.45%,3.45%
47LV,"991","18,689",3.6%,3.45%
48LV,"1,041","19,730",3.6%,3.6%
49LV,"1,093","20,823",3.75%,3.6%
50LV,"1,147","21,970",3.75%,3.75%
51LV,"1,205","23,175",3.9%,3.75%
52LV,"1,265","24,440",3.9%,3.9%
53LV,"1,328","25,768",4.05%,3.9%
54LV,"1,395","27,163",4.05%,4.05%
55LV,"1,465","28,628",4.2%,4.05%
56LV,"1,538","30,166",4.2%,4.2%
57LV,"1,615","31,781",4.35%,4.2%
58LV,"1,696","33,477",4.35%,4.35%
59LV,"1,780","35,257",4.5%,4.35%
60LV,"1,870","37,127",4.5%,4.5%
61LV,"1,963","39,090",4.65%,4.5%
62LV,"2,061","41,151",4.65%,4.65%
63LV,"2,164","43,315",4.8%,4.65%
64LV,"2,273","45,588",4.8%,4.8%
65LV,"2,386","47,974",4.95%,4.8%
66LV,"2,506","50,480",4.95%,4.95%
67LV,"2,631","53,111",5.1%,4.95%
68LV,"2,763","55,874",5.1%,5.1%
69LV,"2,901","58,775",5.25%,5.1%
70LV,"3,046","61,821",5.25%,5.25%
71LV,"3,199","65,020",5.4%,5.25%
72LV,"3,359","68,379",5.4%,5.4%
73LV,"3,527","71,906",5.55%,5.4%
74LV,"3,703","75,609",5.55%,5.55%
75LV,"3,888","79,497",5.7%,5.55%
76LV,"4,083","83,580",5.7%,5.7%
77LV,"4,287","87,867",5.85%,5.7%
78LV,"4,502","92,369",5.85%,5.85%
79LV,"4,727","97,096",6%,5.85%
80LV,"4,963","102,059",6%,6%
81LV,"5,212","107,271",6.15%,6%
82LV,"5,472","112,743",6.15%,6.15%
83LV,"5,746","118,489",6.3%,6.15%
84LV,"6,034","124,523",6.3%,6.3%
85LV,"6,335","130,858",6.45%,6.3%
86LV,"6,652","137,510",6.45%,6.45%
87LV,"6,985","144,495",6.6%,6.45%
88LV,"7,334","151,829",6.6%,6.6%
89LV,"7,701","159,530",6.75%,6.6%
90LV,"8,087","167,617",6.75%,6.75%
91LV,"8,491","176,108",6.9%,6.75%
92LV,"8,916","185,024",6.9%,6.9%
93LV,"9,362","194,386",7.05%,6.9%
94LV,"9,830","204,216",7.05%,7.05%
95LV,"10,322","214,538",7.2%,7.05%
96LV,"10,838","225,376",7.2%,7.2%
97LV,"11,380","236,756",7.35%,7.2%
98LV,"11,950","248,706",7.35%,7.35%
99LV,"12,548","261,254",7.5%,7.35%
100LV,"13,175","274,429",7.5%,7.5%
101LV,"13,834","288,263",7.65%,7.5%
102LV,"14,526","302,789",7.65%,7.65%
103LV,"15,253","318,042",7.8%,7.65%
104LV,"16,016","334,058",7.8%,7.8%
105LV,"16,817","350,875",7.95%,7.8%
106LV,"17,658","368,533",7.95%,7.95%
107LV,"18,542","387,075",8.1%,7.95%
108LV,"19,469","406,544",8.1%,8.1%
109LV,"20,443","426,987",8.25%,8.1%
110LV,"21,465","448,452",8.25%,8.25%
111LV,"22,539","470,991",8.4%,8.25%
112LV,"23,667","494,658",8.4%,8.4%
113LV,"24,851","519,509",8.55%,8.4%
114LV,"26,094","545,603",8.55%,8.55%
115LV,"27,399","573,002",8.7%,8.55%
116LV,"28,769","601,771",8.7%,8.7%
117LV,"30,208","631,979",8.85%,8.7%
118LV,"31,719","663,698",8.85%,8.85%
119LV,"33,306","697,004",9%,8.85%
120LV,"34,972","731,976",9%,9%
121LV,"36,722","768,698",9.15%,9%
122LV,"38,558","807,256",9.15%,9.15%
123LV,"40,487","847,743",9.3%,9.15%
124LV,"42,512","890,255",9.3%,9.3%
125LV,"44,639","934,894",9.45%,9.3%
126LV,"46,872","981,766",9.45%,9.45%
127LV,"49,216","1,030,982",9.6%,9.45%
128LV,"51,678","1,082,660",9.6%,9.6%
129LV,"54,263","1,136,923",9.75%,9.6%
130LV,"56,977","1,193,900",9.75%,9.75%
131LV,"59,828","1,253,728",9.9%,9.75%
132LV,"62,820","1,316,548",9.9%,9.9%
133LV,"65,962","1,382,510",10.05%,9.9%
134LV,"69,262","1,451,772",10.05%,10.05%
135LV,"72,727","1,524,499",10.2%,10.05%
136LV,"76,364","1,600,863",10.2%,10.2%
137LV,"80,184","1,681,047",10.35%,10.2%
138LV,"84,195","1,765,242",10.35%,10.35%
139LV,"88,407","1,853,649",10.5%,10.35%
140LV,"92,829","1,946,478",10.5%,10.5%
141LV,"97,472","2,043,950",10.65%,10.5%
142LV,"102,348","2,146,298",10.65%,10.65%
143LV,"107,467","2,253,765",10.8%,10.65%
144LV,"112,843","2,366,608",10.8%,10.8%
145LV,"118,487","2,485,095",10.95%,10.8%
146LV,"124,414","2,609,509",10.95%,10.95%
147LV,"130,638","2,740,147",11.1%,10.95%
148LV,"137,172","2,877,319",11.1%,11.1%
149LV,"144,034","3,021,353",11.25%,11.1%
150LV,"151,238","3,172,591",11.25%,11.25%
