제네시스,소모 구슬,누적 구슬,숙련도,데미지
1LV,8000,8000,15,3645
2LV,8700,16700,15,3864
3LV,9400,26100,19,4107
4LV,10200,36300,19,4350
5LV,11100,47400,23,4617
6LV,12100,59500,23,4884
7LV,13100,72600,27,5176
8LV,14200,86800,27,5492
9LV,15400,102200,31,5808
10LV,16700,118900,31,6172
11LV,18200,137100,35,6537
12LV,19700,156800,35,6926
13LV,21400,178200,39,7339
14LV,23200,201400,39,7776
15LV,25200,226600,43,8238
16LV,27400,254000,43,8748
17LV,29700,283700,47,9258
18LV,32300,316000,47,9817
19LV,35000,351000,50,10400
20LV,38000,389000,50,11032
21LV,41300,430300,54,11688
22LV,44800,475100,54,12393
23LV,48600,523700,58,13146
24LV,52800,576500,58,13924
25LV,57300,633800,62,14774
26LV,62100,695900,62,15649
27LV,67400,763300,66,16597
28LV,73200,836500,66,17593
29LV,79400,915900,70,18638
30LV,86200,1002100,70,19756
