매직클로,소모 조각,누적 조각,,아이언 애로우,소모 조각,누적 조각,,썬더볼트,소모 조각,누적 조각,,피어싱,소모 조각,누적 조각,,생츄어리,소모 조각,누적 조각,,스크류펀치,소모 구슬,누적 구슬,,아이스데몬,소모 조각,누적 조각,,제네시스,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각,,스킬명,소모 조각,누적 조각
1LV,1 ,1 ,,1LV,3 ,3 ,,1LV,2 ,2 ,,1LV,80 ,80 ,,1LV,4 ,4 ,,1LV,1 ,1 ,,1LV,2 ,2 ,,1LV,"8,000 ","8,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2LV,2 ,3 ,,2LV,5 ,8 ,,2LV,4 ,6 ,,2LV,160 ,240 ,,2LV,8 ,12 ,,2LV,3 ,4 ,,2LV,3 ,5 ,,2LV,"8,700 ","16,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3LV,4 ,7 ,,3LV,10 ,18 ,,3LV,8 ,14 ,,3LV,320 ,560 ,,3LV,17 ,29 ,,3LV,7 ,11 ,,3LV,4 ,9 ,,3LV,"9,400 ","26,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4LV,6 ,13 ,,4LV,15 ,33 ,,4LV,12 ,26 ,,4LV,480 ,"1,040 ",,4LV,25 ,54 ,,4LV,14 ,25 ,,4LV,6 ,15 ,,4LV,"10,200 ","36,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5LV,9 ,22 ,,5LV,23 ,56 ,,5LV,18 ,44 ,,5LV,640 ,"1,680 ",,5LV,38 ,92 ,,5LV,22 ,47 ,,5LV,8 ,23 ,,5LV,"11,100 ","47,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6LV,12 ,34 ,,6LV,30 ,86 ,,6LV,24 ,68 ,,6LV,800 ,"2,480 ",,6LV,50 ,142 ,,6LV,32 ,79 ,,6LV,12 ,35 ,,6LV,"12,100 ","59,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7LV,17 ,51 ,,7LV,43 ,129 ,,7LV,34 ,102 ,,7LV,960 ,"3,440 ",,7LV,71 ,213 ,,7LV,45 ,124 ,,7LV,16 ,51 ,,7LV,"13,100 ","72,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8LV,22 ,73 ,,8LV,55 ,184 ,,8LV,44 ,146 ,,8LV,"1,120 ","4,560 ",,8LV,92 ,305 ,,8LV,60 ,184 ,,8LV,22 ,73 ,,8LV,"14,200 ","86,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9LV,29 ,102 ,,9LV,73 ,257 ,,9LV,58 ,204 ,,9LV,"1,280 ","5,840 ",,9LV,121 ,426 ,,9LV,78 ,262 ,,9LV,32 ,105 ,,9LV,"15,400 ","102,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10LV,37 ,139 ,,10LV,93 ,350 ,,10LV,74 ,278 ,,10LV,"1,440 ","7,280 ",,10LV,154 ,580 ,,10LV,99 ,361 ,,10LV,44 ,149 ,,10LV,"16,700 ","118,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11LV,46 ,185 ,,11LV,115 ,465 ,,11LV,92 ,370 ,,11LV,"1,600 ","8,880 ",,11LV,192 ,772 ,,11LV,123 ,484 ,,11LV,62 ,211 ,,11LV,"18,200 ","137,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12LV,57 ,242 ,,12LV,143 ,608 ,,12LV,114 ,484 ,,12LV,"1,760 ","10,640 ",,12LV,238 ,"1,010 ",,12LV,150 ,634 ,,12LV,87 ,298 ,,12LV,"19,700 ","156,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13LV,70 ,312 ,,13LV,175 ,783 ,,13LV,140 ,624 ,,13LV,"1,920 ","12,560 ",,13LV,292 ,"1,302 ",,13LV,181 ,815 ,,13LV,122 ,420 ,,13LV,"21,400 ","178,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14LV,84 ,396 ,,14LV,210 ,993 ,,14LV,168 ,792 ,,14LV,"2,080 ","14,640 ",,14LV,350 ,"1,652 ",,14LV,215 ,"1,030 ",,14LV,170 ,590 ,,14LV,"23,200 ","201,400 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15LV,100 ,496 ,,15LV,250 ,"1,243 ",,15LV,200 ,992 ,,15LV,"2,240 ","16,880 ",,15LV,417 ,"2,069 ",,15LV,252 ,"1,282 ",,15LV,239 ,829 ,,15LV,"25,200 ","226,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16LV,119 ,615 ,,16LV,298 ,"1,541 ",,16LV,238 ,"1,230 ",,16LV,"2,400 ","19,280 ",,16LV,496 ,"2,565 ",,16LV,293 ,"1,575 ",,16LV,335 ,"1,164 ",,16LV,"27,400 ","254,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17LV,139 ,754 ,,17LV,348 ,"1,889 ",,17LV,278 ,"1,508 ",,17LV,"2,560 ","21,840 ",,17LV,579 ,"3,144 ",,17LV,337 ,"1,912 ",,17LV,468 ,"1,632 ",,17LV,"29,700 ","283,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18LV,163 ,917 ,,18LV,408 ,"2,297 ",,18LV,326 ,"1,834 ",,18LV,"2,720 ","24,560 ",,18LV,679 ,"3,823 ",,18LV,385 ,"2,297 ",,18LV,655 ,"2,287 ",,18LV,"32,300 ","316,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19LV,189 ,"1,106 ",,19LV,473 ,"2,770 ",,19LV,378 ,"2,212 ",,19LV,"2,880 ","27,440 ",,19LV,788 ,"4,611 ",,19LV,437 ,"2,734 ",,19LV,917 ,"3,204 ",,19LV,"35,000 ","351,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20LV,235 ,"1,341 ",,20LV,588 ,"3,358 ",,20LV,470 ,"2,682 ",,20LV,"3,040 ","30,480 ",,20LV,980 ,"5,591 ",,20LV,493 ,"3,227 ",,20LV,"1,284 ","4,488 ",,20LV,"38,000 ","389,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21LV,526 ,"3,208 ",,21LV,"3,200 ","33,680 ",,21LV,"1,096 ","6,687 ",,21LV,553 ,"3,780 ",,21LV,"1,797 ","6,285 ",,21LV,"41,300 ","430,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22LV,586 ,"3,794 ",,22LV,"3,360 ","37,040 ",,22LV,"1,221 ","7,908 ",,22LV,617 ,"4,397 ",,22LV,"2,517 ","8,802 ",,22LV,"44,800 ","475,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23LV,648 ,"4,442 ",,23LV,"3,520 ","40,560 ",,23LV,"1,351 ","9,259 ",,23LV,685 ,"5,082 ",,23LV,"3,523 ","12,325 ",,23LV,"48,600 ","523,700 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24LV,714 ,"5,156 ",,24LV,"3,680 ","44,240 ",,24LV,"1,488 ","10,747 ",,24LV,758 ,"5,840 ",,24LV,"4,932 ","17,257 ",,24LV,"52,800 ","576,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25LV,784 ,"5,940 ",,25LV,"3,840 ","48,080 ",,25LV,"1,634 ","12,381 ",,25LV,835 ,"6,675 ",,25LV,"6,906 ","24,163 ",,25LV,"57,300 ","633,800 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26LV,858 ,"6,798 ",,26LV,"4,000 ","52,080 ",,26LV,"1,788 ","14,169 ",,26LV,917 ,"7,592 ",,26LV,"9,668 ","33,831 ",,26LV,"62,100 ","695,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27LV,936 ,"7,734 ",,27LV,"4,160 ","56,240 ",,27LV,"1,951 ","16,120 ",,27LV,"1,003 ","8,595 ",,27LV,"13,532 ","47,363 ",,27LV,"67,400 ","763,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28LV,"1,016 ","8,750 ",,28LV,"4,320 ","60,560 ",,28LV,"2,117 ","18,237 ",,28LV,"1,094 ","9,689 ",,28LV,"18,950 ","66,313 ",,28LV,"73,200 ","836,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29LV,"1,100 ","9,850 ",,29LV,"4,480 ","65,040 ",,29LV,"2,292 ","20,529 ",,29LV,"1,189 ","10,878 ",,29LV,"26,525 ","92,838 ",,29LV,"79,400 ","915,900 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30LV,"1,188 ","11,038 ",,30LV,"4,640 ","69,680 ",,30LV,"2,476 ","23,005 ",,30LV,"1,300 ","12,178 ",,30LV,"37,162 ","130,000 ",,30LV,"86,200 ","1,002,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
