생츄어리,소모 조각,누적 조각
1LV,4,4
2LV,8,12
3LV,17,29
4LV,25,54
5LV,38,92
6LV,50,142
7LV,71,213
8LV,92,305
9LV,121,426
10LV,154,580
11LV,192,772
12LV,238,"1,010"
13LV,292,"1,302"
14LV,350,"1,652"
15LV,417,"2,069"
16LV,496,"2,565"
17LV,579,"3,144"
18LV,679,"3,823"
19LV,788,"4,611"
20LV,980,"5,591"
21LV,"1,096","6,687"
22LV,"1,221","7,908"
23LV,"1,351","9,259"
24LV,"1,488","10,747"
25LV,"1,634","12,381"
26LV,"1,788","14,169"
27LV,"1,951","16,120"
28LV,"2,117","18,237"
29LV,"2,292","20,529"
30LV,"2,476","23,005"
