피어싱,소모 조각,누적 조각
1LV,80,80
2LV,160,240
3LV,320,560
4LV,480,"1,040"
5LV,640,"1,680"
6LV,800,"2,480"
7LV,960,"3,440"
8LV,"1,120","4,560"
9LV,"1,280","5,840"
10LV,"1,440","7,280"
11LV,"1,600","8,880"
12LV,"1,760","10,640"
13LV,"1,920","12,560"
14LV,"2,080","14,640"
15LV,"2,240","16,880"
16LV,"2,400","19,280"
17LV,"2,560","21,840"
18LV,"2,720","24,560"
19LV,"2,880","27,440"
20LV,"3,040","30,480"
21LV,"3,200","33,680"
22LV,"3,360","37,040"
23LV,"3,520","40,560"
24LV,"3,680","44,240"
25LV,"3,840","48,080"
26LV,"4,000","52,080"
27LV,"4,160","56,240"
28LV,"4,320","60,560"
29LV,"4,480","65,040"
30LV,"4,640","69,680"
