스킬명,현재 Lv,목표 Lv,필요 RP
부스트 최대2,0,2,"300,000"
경험치 최대200,0,200,"10,100"
강화 확률 증가 최대 10,0,10,"102,300,000"
SP 증가량 최대 1200,0,1200,"115,165,236,579"
장비 제한 레벨 감소 최대 24,0,24,"5,851"
샤프 최대 55,0,50,"166,650,465,000"
버서크 최대 55,0,50,"166,650,465,000"
쉐도우 파트너 최대 55,0,50,"166,673,250,000"
환포 최대 40,0,40,"47,806"
비홀더버프 최대 4,0,4,"7,600"
타겟 최대 1,0,1,"1,000,000"
강화횟수 최대 1,0,1,"500,000"
메용 최대 40,0,35,"166,680,000,000"
원거리마스터리 최대 25,0,25,"150,210,000"
어드밴스드 콤보어택 최대 55,0,50,"1,687,650,000,000"
파이널어택 최대 10,0,10,"10,000,000,000"
너클마스터리 최대 25,0,25,"150,210,000"
크리티컬 리인포스 최대40,0,35,"296,500,000,000"
오브마스터리 최대 30,0,30,"4,650,000,000,000"
아드레날린 부스터 최대 20,0,20,"21,000,000,000,000"
표21,0,0,0
표22,0,0,0
표23,0,0,0
표24,0,0,0
표25,0,0,0
표26,0,0,0
표27,0,0,0
표28,0,0,0
표29,0,0,0
표30,0,0,0
표31,0,0,0
표32,0,0,0
표33,0,0,0
표34,0,0,0
표35,0,0,0
총합,,,"28,426,374,007,936"
