부스트,,,,,경험치 RP (1~200),,,,, 강화 확률 증가,,,,,SP 증가량,,,,,장비 제한 레벨 감소,,,,,샤프 ,,,,,버서크 ,,,,,쉐도우 파트너,,,,,환포증가,,,,,비홀더버프,,,,,타겟,,,,,강횟,,,,,매용,,,,,원거리마스터리,,,,,,어드밴스드 콤보,,,,,파이널어택,,,,,너클마스터리,,,,,크리티컬 리인포스,,,,,오브 마스터리,,,,,,아드레날린,,,,,
레벨,소모 RP,누적 RP,효과,,레벨,필요 RP,누적 RP,효과,,레벨,소모 포인트,누적 포인트,효과,,레벨,SP 증가,누적 환포,효과,,레벨,감소량,누적 감소량,효과,,레벨,샤프 소모값,누적 RP,효과,,레벨,버서크 소모값,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,소모 RP,누적 RP,효과,,레벨,비용,누적 비용,효과,,레벨,소모 RP,누적 RP,숙련도,데미지,,레벨,소모 RP,누적 RP,지속시간,데미지,쿨타임
1 ,"100,000 ","100,000 ",공속+1,,1 ,1 ,1 ,경험치+1%,,1 ,"100,000 ","100,000 ",강화확률+1%,,1 ,2 ,2 ,sp+1,,1 ,1 ,1 ,장비lv-5,,1 ,"1,000 ","1,000 ","크확+1% ,데미지+11%",,1 ,"1,000 ","1,000 ",데미지+113%,,1 ,"50,000 ","50,000 ",데미지+20%,,1 ,2 ,2 ,환생포인트+10%,,1 ,100 ,100 ,숙련도 +5%,,1 ,"1,000,000 ","1,000,000 ",마릿수+1,,1 ,"500,000 ","500,000 ",강화횟수+1,,1 ,"600,000 ","600,000 ",최종올스탯+1%,,1 ,"1,000 ","1,000 ","활,석궁 숙련도+15% 명중+1",,,1 ,"10,000,000 ","10,000,000 ",최종뎀 101%,,1 ,"100,000,000 ","100,000,000 ",1%확률로 추가발동,,1 ,"1,000 ","1,000 ",너클 숙련도+15% 명중+1,,1,"100,000,000 ","100,000,000",크리티컬 확률의 21% 만큼 크리티컬 데미지 증가,,1 ,"10,000,000,000 ","10,000,000,000 ",1%,1%,,1,"100,000,000,000 ","100,000,000,000 ",15,60,175
2 ,"200,000 ","300,000 ",공속+2,,2 ,1 ,2 ,경험치+2%,,2 ,"200,000 ","300,000 ",강화확률+2%,,2 ,20 ,22 ,sp+2,,2 ,11 ,12 ,장비lv-10,,2 ,"2,000 ","3,000 ","크확+1% ,데미지+12%",,2 ,"2,000 ","3,000 ",데미지+116%,,2 ,"100,000 ","150,000 ",데미지+24%,,2 ,16 ,18 ,환생포인트+20%,,2 ,500 ,600 ,숙련도 +10%,,,,,,,,,,,,2 ,"800,000 ","1,400,000 ",최종올스탯+2%,,2 ,"2,000 ","3,000 ","활,석궁 숙련도+15% 명중+2",,,2 ,"20,000,000 ","30,000,000 ",최종뎀 102%,,2 ,"100,000,000 ","200,000,000 ",2%확률로 추가발동,,2 ,"2,000 ","3,000 ",너클 숙련도+15% 명중+2,,2,"200,000,000 ","300,000,000",크리티컬 확률의 22% 만큼 크리티컬 데미지 증가,,2 ,"20,000,000,000 ","30,000,000,000 ",2%,1%,,2,"200,000,000,000 ","300,000,000,000 ",15,65,170
,,,,,3 ,2 ,4 ,경험치+3%,,3 ,"400,000 ","700,000 ",강화확률+3%,,3 ,69 ,91 ,sp+3,,3 ,32 ,44 ,장비lv-15,,3 ,"3,000 ","6,000 ","크확+2% ,데미지+13%",,3 ,"3,000 ","6,000 ",데미지+119%,,3 ,"150,000 ","300,000 ",데미지+28%,,3 ,48 ,66 ,환생포인트+30%,,3 ,"2,000 ","2,600 ",숙련도 +15%,,,,,,,,,,,,3 ,"1,000,000 ","2,400,000 ",최종올스탯+3%,,3 ,"3,000 ","6,000 ","활,석궁 숙련도+20% 명중+3",,,3 ,"30,000,000 ","60,000,000 ",최종뎀 103%,,3 ,"100,000,000 ","300,000,000 ",3%확률로 추가발동,,3 ,"3,000 ","6,000 ",너클 숙련도+20% 명중+3,,3,"300,000,000 ","600,000,000",크리티컬 확률의 23% 만큼 크리티컬 데미지 증가,,3 ,"30,000,000,000 ","60,000,000,000 ",3%,2%,,3,"300,000,000,000 ","600,000,000,000 ",15,70,165
,,,,,4 ,2 ,6 ,경험치+4%,,4 ,"800,000 ","1,500,000 ",강화확률+4%,,4 ,195 ,286 ,sp+4,,4 ,73 ,117 ,장비lv-20,,4 ,"4,000 ","10,000 ","크확+2% ,데미지+14%",,4 ,"4,000 ","10,000 ",데미지+122%,,4 ,"200,000 ","500,000 ",데미지+31%,,4 ,60 ,126 ,환생포인트+40%,,4 ,"5,000 ","7,600 ",숙련도 +20%,,,,,,,,,,,,4 ,"1,200,000 ","3,600,000 ",최종올스탯+4%,,4 ,"4,000 ","10,000 ","활,석궁 숙련도+20% 명중+4",,,4 ,"40,000,000 ","100,000,000 ",최종뎀 104%,,4 ,"100,000,000 ","400,000,000 ",4%확률로 추가발동,,4 ,"4,000 ","10,000 ",너클 숙련도+20% 명중+4,,4,"400,000,000 ","1,000,000,000",크리티컬 확률의 24% 만큼 크리티컬 데미지 증가,,4 ,"40,000,000,000 ","100,000,000,000 ",4%,2%,,4,"400,000,000,000 ","1,000,000,000,000 ",15,75,160
,,,,,5 ,3 ,9 ,경험치+5%,,5 ,"1,600,000 ","3,100,000 ",강화확률+5%,,5 ,249 ,535 ,sp+5,,5 ,80 ,197 ,장비lv-25,,5 ,"5,000 ","15,000 ","크확+3% ,데미지+15%",,5 ,"5,000 ","15,000 ",데미지+125%,,5 ,"250,000 ","750,000 ",데미지+34%,,5 ,80 ,206 ,환생포인트+50%,,,,,,,,,,,,,,,,,5 ,"1,400,000 ","5,000,000 ",최종올스탯+5%,,5 ,"5,000 ","15,000 ","활,석궁 숙련도+25% 명중+5",,,5 ,"50,000,000 ","150,000,000 ",최종뎀 105%,,5 ,"100,000,000 ","500,000,000 ",5%확률로 추가발동,,5 ,"5,000 ","15,000 ",너클 숙련도+25% 명중+5,,5,"500,000,000 ","1,500,000,000",크리티컬 확률의 25% 만큼 크리티컬 데미지 증가,,5 ,"50,000,000,000 ","150,000,000,000 ",5%,3%,,5,"500,000,000,000 ","1,500,000,000,000 ",15,80,155
,,,,,6 ,3 ,12 ,경험치+6%,,6 ,"3,200,000 ","6,300,000 ",강화확률+6%,,6 ,354 ,889 ,sp+6,,6 ,95 ,292 ,장비lv-30,,6 ,"6,000 ","21,000 ","크확+3% ,데미지+16%",,6 ,"6,000 ","21,000 ",데미지+128%,,6 ,"300,000 ","1,050,000 ",데미지+37%,,6 ,105 ,311 ,환생포인트+60%,,,,,,,,,,,,,,,,,6 ,"1,600,000 ","6,600,000 ",최종올스탯+6%,,6 ,"6,000 ","21,000 ","활,석궁 숙련도+25% 명중+6",,,6 ,"60,000,000 ","210,000,000 ",최종뎀 106%,,6 ,"100,000,000 ","600,000,000 ",6%확률로 추가발동,,6 ,"6,000 ","21,000 ",너클 숙련도+25% 명중+6,,6,"600,000,000 ","2,100,000,000",크리티컬 확률의 26% 만큼 크리티컬 데미지 증가,,6 ,"60,000,000,000 ","210,000,000,000 ",6%,3%,,6,"600,000,000,000 ","2,100,000,000,000 ",15,85,150
,,,,,7 ,4 ,16 ,경험치+7%,,7 ,"6,400,000 ","12,700,000 ",강화확률+7%,,7 ,485 ,"1,374 ",sp+7,,7 ,104 ,396 ,장비lv-35,,7 ,"7,000 ","28,000 ","크확+4% ,데미지+17%",,7 ,"7,000 ","28,000 ",데미지+131%,,7 ,"350,000 ","1,400,000 ",데미지+40%,,7 ,135 ,446 ,환생포인트+70%,,,,,,,,,,,,,,,,,7 ,"1,800,000 ","8,400,000 ",최종올스탯+7%,,7 ,"7,000 ","28,000 ","활,석궁 숙련도+30% 명중+7",,,7 ,"70,000,000 ","280,000,000 ",최종뎀 107%,,7 ,"100,000,000 ","700,000,000 ",7%확률로 추가발동,,7 ,"7,000 ","28,000 ",너클 숙련도+30% 명중+7,,7,"700,000,000 ","2,800,000,000",크리티컬 확률의 27% 만큼 크리티컬 데미지 증가,,7 ,"70,000,000,000 ","280,000,000,000 ",7%,4%,,7,"700,000,000,000 ","2,800,000,000,000 ",15,90,145
,,,,,8 ,4 ,20 ,경험치+8%,,8 ,"12,800,000 ","25,500,000 ",강화확률+8%,,8 ,640 ,"2,014 ",sp+8,,8 ,112 ,508 ,장비lv-40,,8 ,"8,000 ","36,000 ","크확+4% ,데미지+18%",,8 ,"8,000 ","36,000 ",데미지+134%,,8 ,"400,000 ","1,800,000 ",데미지+43%,,8 ,170 ,616 ,환생포인트+80%,,,,,,,,,,,,,,,,,8 ,"2,000,000 ","10,400,000 ",최종올스탯+8%,,8 ,"8,000 ","36,000 ","활,석궁 숙련도+30% 명중+8",,,8 ,"80,000,000 ","360,000,000 ",최종뎀 108%,,8 ,"100,000,000 ","800,000,000 ",8%확률로 추가발동,,8 ,"8,000 ","36,000 ",너클 숙련도+30% 명중+8,,8,"800,000,000 ","3,600,000,000",크리티컬 확률의 28% 만큼 크리티컬 데미지 증가,,8 ,"80,000,000,000 ","360,000,000,000 ",8%,4%,,8,"800,000,000,000 ","3,600,000,000,000 ",15,95,140
,,,,,9 ,5 ,25 ,경험치+9%,,9 ,"25,600,000 ","51,100,000 ",강화확률+9%,,9 ,825 ,"2,839 ",sp+9,,9 ,127 ,635 ,장비lv-45,,9 ,"9,000 ","45,000 ","크확+5% ,데미지+19%",,9 ,"9,000 ","45,000 ",데미지+137%,,9 ,"450,000 ","2,250,000 ",데미지+46%,,9 ,210 ,826 ,환생포인트+90%,,,,,,,,,,,,,,,,,9 ,"2,200,000 ","12,600,000 ",최종올스탯+9%,,9 ,"9,000 ","45,000 ","활,석궁 숙련도+35% 명중+9",,,9 ,"90,000,000 ","450,000,000 ",최종뎀 109%,,9 ,"100,000,000 ","900,000,000 ",9%확률로 추가발동,,9 ,"9,000 ","45,000 ",너클 숙련도+35% 명중+9,,9,"900,000,000 ","4,500,000,000",크리티컬 확률의 29% 만큼 크리티컬 데미지 증가,,9 ,"90,000,000,000 ","450,000,000,000 ",9%,5%,,9,"900,000,000,000 ","4,500,000,000,000 ",15,100,135
,,,,,10 ,5 ,30 ,경험치+10%,,10 ,"51,200,000 ","102,300,000 ",강화확률+10%,,10 ,"1,040 ","3,879 ",sp+10,,10 ,144 ,779 ,장비lv-50,,10 ,"10,000 ","55,000 ","크확+5% ,데미지+20%",,10 ,"10,000 ","55,000 ",데미지+140%,,10 ,"500,000 ","2,750,000 ",데미지+49%,,10 ,255 ,"1,081 ",환생포인트+100%,,,,,,,,,,,,,,,,,10 ,"2,400,000 ","15,000,000 ",최종올스탯+10%,,10 ,"10,000 ","55,000 ","활,석궁 숙련도+35% 명중+10",,,10 ,"100,000,000 ","550,000,000 ",최종뎀 110%,,10 ,"100,000,000 ","1,000,000,000 ",10%확률로 추가발동,,10 ,"10,000 ","55,000 ",너클 숙련도+35% 명중+10,,10,"1,000,000,000 ","5,500,000,000",크리티컬 확률의 30% 만큼 크리티컬 데미지 증가,,10 ,"100,000,000,000 ","550,000,000,000 ",10%,5%,,10,"1,000,000,000,000 ","5,500,000,000,000 ",15,105,130
