레벨,SP 증가,누적 환포,효과
1,2,2,sp+1
2,20,22,sp+2
3,69,91,sp+3
4,195,286,sp+4
5,249,535,sp+5
6,354,889,sp+6
7,485,"1,374",sp+7
8,640,"2,014",sp+8
9,825,"2,839",sp+9
10,"1,040","3,879",sp+10
11,"1,280","5,159",sp+11
12,"1,540","6,699",sp+12
13,"1,820","8,519",sp+13
14,"2,120","10,639",sp+14
15,"2,440","13,079",sp+15
16,"2,780","15,859",sp+16
17,"3,140","18,999",sp+17
18,"3,520","22,519",sp+18
19,"3,920","26,439",sp+19
20,"4,340","30,779",sp+20
21,"4,780","35,559",sp+21
22,"5,240","40,799",sp+22
23,"5,720","46,519",sp+23
24,"6,220","52,739",sp+24
25,"6,740","59,479",sp+25
26,"7,280","66,759",sp+26
27,"7,840","74,599",sp+27
28,"8,420","83,019",sp+28
29,"9,020","92,039",sp+29
30,"9,640","101,679",sp+30
31,"10,280","111,959",sp+31
32,"10,940","122,899",sp+32
33,"11,620","134,519",sp+33
34,"12,320","146,839",sp+34
35,"13,040","159,879",sp+35
36,"13,780","173,659",sp+36
37,"14,540","188,199",sp+37
38,"15,320","203,519",sp+38
39,"16,120","219,639",sp+39
40,"16,940","236,579",sp+40
41,"1,000,000","1,236,579",sp+41
42,"2,000,000","3,236,579",sp+42
43,"3,000,000","6,236,579",sp+43
44,"4,000,000","10,236,579",sp+44
45,"5,000,000","15,236,579",sp+45
46,"10,000,000","25,236,579",sp+46
47,"20,000,000","45,236,579",sp+47
48,"30,000,000","75,236,579",sp+48
49,"40,000,000","115,236,579",sp+49
50,"50,000,000","165,236,579",sp+50
51,"100,000,000","265,236,579",sp+51
52,"100,000,000","365,236,579",sp+52
53,"100,000,000","465,236,579",sp+53
54,"100,000,000","565,236,579",sp+54
55,"100,000,000","665,236,579",sp+55
56,"100,000,000","765,236,579",sp+56
57,"100,000,000","865,236,579",sp+57
58,"100,000,000","965,236,579",sp+58
59,"100,000,000","1,065,236,579",sp+59
60,"100,000,000","1,165,236,579",sp+60
61,"100,000,000","1,265,236,579",sp+61
62,"100,000,000","1,365,236,579",sp+62
63,"100,000,000","1,465,236,579",sp+63
64,"100,000,000","1,565,236,579",sp+64
65,"100,000,000","1,665,236,579",sp+65
66,"100,000,000","1,765,236,579",sp+66
67,"100,000,000","1,865,236,579",sp+67
68,"100,000,000","1,965,236,579",sp+68
69,"100,000,000","2,065,236,579",sp+69
70,"100,000,000","2,165,236,579",sp+70
71,"100,000,000","2,265,236,579",sp+71
72,"100,000,000","2,365,236,579",sp+72
73,"100,000,000","2,465,236,579",sp+73
74,"100,000,000","2,565,236,579",sp+74
75,"100,000,000","2,665,236,579",sp+75
76,"100,000,000","2,765,236,579",sp+76
77,"100,000,000","2,865,236,579",sp+77
78,"100,000,000","2,965,236,579",sp+78
79,"100,000,000","3,065,236,579",sp+79
80,"100,000,000","3,165,236,579",sp+80
81,"100,000,000","3,265,236,579",sp+81
82,"100,000,000","3,365,236,579",sp+82
83,"100,000,000","3,465,236,579",sp+83
84,"100,000,000","3,565,236,579",sp+84
85,"100,000,000","3,665,236,579",sp+85
86,"100,000,000","3,765,236,579",sp+86
87,"100,000,000","3,865,236,579",sp+87
88,"100,000,000","3,965,236,579",sp+88
89,"100,000,000","4,065,236,579",sp+89
90,"100,000,000","4,165,236,579",sp+90
91,"100,000,000","4,265,236,579",sp+91
92,"100,000,000","4,365,236,579",sp+92
93,"100,000,000","4,465,236,579",sp+93
94,"100,000,000","4,565,236,579",sp+94
95,"100,000,000","4,665,236,579",sp+95
96,"100,000,000","4,765,236,579",sp+96
97,"100,000,000","4,865,236,579",sp+97
98,"100,000,000","4,965,236,579",sp+98
99,"100,000,000","5,065,236,579",sp+99
100,"100,000,000","5,165,236,579",sp+100
101,"100,000,000","5,265,236,579",sp+101
102,"100,000,000","5,365,236,579",sp+102
103,"100,000,000","5,465,236,579",sp+103
104,"100,000,000","5,565,236,579",sp+104
105,"100,000,000","5,665,236,579",sp+105
106,"100,000,000","5,765,236,579",sp+106
107,"100,000,000","5,865,236,579",sp+107
108,"100,000,000","5,965,236,579",sp+108
109,"100,000,000","6,065,236,579",sp+109
110,"100,000,000","6,165,236,579",sp+110
111,"100,000,000","6,265,236,579",sp+111
112,"100,000,000","6,365,236,579",sp+112
113,"100,000,000","6,465,236,579",sp+113
114,"100,000,000","6,565,236,579",sp+114
115,"100,000,000","6,665,236,579",sp+115
116,"100,000,000","6,765,236,579",sp+116
117,"100,000,000","6,865,236,579",sp+117
118,"100,000,000","6,965,236,579",sp+118
119,"100,000,000","7,065,236,579",sp+119
120,"100,000,000","7,165,236,579",sp+120
121,"100,000,000","7,265,236,579",sp+121
122,"100,000,000","7,365,236,579",sp+122
123,"100,000,000","7,465,236,579",sp+123
124,"100,000,000","7,565,236,579",sp+124
125,"100,000,000","7,665,236,579",sp+125
126,"100,000,000","7,765,236,579",sp+126
127,"100,000,000","7,865,236,579",sp+127
128,"100,000,000","7,965,236,579",sp+128
129,"100,000,000","8,065,236,579",sp+129
130,"100,000,000","8,165,236,579",sp+130
131,"100,000,000","8,265,236,579",sp+131
132,"100,000,000","8,365,236,579",sp+132
133,"100,000,000","8,465,236,579",sp+133
134,"100,000,000","8,565,236,579",sp+134
135,"100,000,000","8,665,236,579",sp+135
136,"100,000,000","8,765,236,579",sp+136
137,"100,000,000","8,865,236,579",sp+137
138,"100,000,000","8,965,236,579",sp+138
139,"100,000,000","9,065,236,579",sp+139
140,"100,000,000","9,165,236,579",sp+140
141,"100,000,000","9,265,236,579",sp+141
142,"100,000,000","9,365,236,579",sp+142
143,"100,000,000","9,465,236,579",sp+143
144,"100,000,000","9,565,236,579",sp+144
145,"100,000,000","9,665,236,579",sp+145
146,"100,000,000","9,765,236,579",sp+146
147,"100,000,000","9,865,236,579",sp+147
148,"100,000,000","9,965,236,579",sp+148
149,"100,000,000","10,065,236,579",sp+149
150,"100,000,000","10,165,236,579",sp+150
151,"100,000,000","10,265,236,579",sp+151
152,"100,000,000","10,365,236,579",sp+152
153,"100,000,000","10,465,236,579",sp+153
154,"100,000,000","10,565,236,579",sp+154
155,"100,000,000","10,665,236,579",sp+155
156,"100,000,000","10,765,236,579",sp+156
157,"100,000,000","10,865,236,579",sp+157
158,"100,000,000","10,965,236,579",sp+158
159,"100,000,000","11,065,236,579",sp+159
160,"100,000,000","11,165,236,579",sp+160
161,"100,000,000","11,265,236,579",sp+161
162,"100,000,000","11,365,236,579",sp+162
163,"100,000,000","11,465,236,579",sp+163
164,"100,000,000","11,565,236,579",sp+164
165,"100,000,000","11,665,236,579",sp+165
166,"100,000,000","11,765,236,579",sp+166
167,"100,000,000","11,865,236,579",sp+167
168,"100,000,000","11,965,236,579",sp+168
169,"100,000,000","12,065,236,579",sp+169
170,"100,000,000","12,165,236,579",sp+170
171,"100,000,000","12,265,236,579",sp+171
172,"100,000,000","12,365,236,579",sp+172
173,"100,000,000","12,465,236,579",sp+173
174,"100,000,000","12,565,236,579",sp+174
175,"100,000,000","12,665,236,579",sp+175
176,"100,000,000","12,765,236,579",sp+176
177,"100,000,000","12,865,236,579",sp+177
178,"100,000,000","12,965,236,579",sp+178
179,"100,000,000","13,065,236,579",sp+179
180,"100,000,000","13,165,236,579",sp+180
181,"100,000,000","13,265,236,579",sp+181
182,"100,000,000","13,365,236,579",sp+182
183,"100,000,000","13,465,236,579",sp+183
184,"100,000,000","13,565,236,579",sp+184
185,"100,000,000","13,665,236,579",sp+185
186,"100,000,000","13,765,236,579",sp+186
187,"100,000,000","13,865,236,579",sp+187
188,"100,000,000","13,965,236,579",sp+188
189,"100,000,000","14,065,236,579",sp+189
190,"100,000,000","14,165,236,579",sp+190
191,"100,000,000","14,265,236,579",sp+191
192,"100,000,000","14,365,236,579",sp+192
193,"100,000,000","14,465,236,579",sp+193
194,"100,000,000","14,565,236,579",sp+194
