name,file
"부스트",boost.csv
"경험치 RP (1~200)",exp-rp.csv
"강화 확률 증가",enhance-chance.csv
"SP 증가량",sp-increase.csv
"장비 제한 레벨 감소",equip-level-reduce.csv
"샤프",sharp.csv
"버서크",berserk.csv
"쉐도우 파트너",shadow-partner.csv
"환포증가",hanpo-increase.csv
"비홀더버프",beholder-buff.csv
"타겟",target.csv
"강횟",enhance-count.csv
"매용",melee.csv
"원거리마스터리",ranged-mastery.csv
"어드밴스드 콤보",advanced-combo.csv
"파이널어택",final-attack.csv
"너클마스터리",knuckle-mastery.csv
"크리티컬 리인포스",critical-reinforce.csv
"오브 마스터리",orb-mastery.csv
"아드레날린",adrenaline.csv
