레벨,소모 RP,누적 RP,최종 데미지,효과,추가 효과
1,"4,000,000,000,000","4,000,000,000,000",5%,"몬스터 HP 100% 기준 최종 데미지 +5%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
2,"5,000,000,000,000","9,000,000,000,000",6%,"몬스터 HP 100% 기준 최종 데미지 +6%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
3,"6,000,000,000,000","15,000,000,000,000",7%,"몬스터 HP 100% 기준 최종 데미지 +7%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
4,"7,000,000,000,000","22,000,000,000,000",8%,"몬스터 HP 100% 기준 최종 데미지 +8%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
5,"8,000,000,000,000","30,000,000,000,000",9%,"몬스터 HP 100% 기준 최종 데미지 +9%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
6,"9,000,000,000,000","39,000,000,000,000",10%,"몬스터 HP 100% 기준 최종 데미지 +10%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
7,"11,000,000,000,000","50,000,000,000,000",11%,"몬스터 HP 100% 기준 최종 데미지 +11%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
8,"12,000,000,000,000","62,000,000,000,000",13%,"몬스터 HP 100% 기준 최종 데미지 +13%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
9,"14,000,000,000,000","76,000,000,000,000",15%,"몬스터 HP 100% 기준 최종 데미지 +15%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
10,"16,000,000,000,000","92,000,000,000,000",17%,"몬스터 HP 100% 기준 최종 데미지 +17%","몬스터 HP가 낮아질수록 효과가 감소합니다. HP 100%일 때 표기된 최종 데미지가 모두 적용되며, HP가 10% 줄어들 때마다 적용량이 10%씩 감소합니다. 처형자의 일격과 중첩되며, 펫에도 적용됩니다."
