﻿tableKey,skillName,maxLevel0,maxLevel1,maxLevel2,maxLevel3,maxLevel4,maxLevel5,maxLevel6,maxLevel7,maxLevel8
table1,SP 증가량,2000,2000,2000,2000,2000,2000,2000,2000,2000
table2,환포,40,40,40,40,40,40,40,40,40
table3,경험치,200,200,200,200,200,200,200,200,200
table4,장비 제한 레벨 감소,24,24,24,24,24,24,24,24,24
table5,타겟,1,1,1,1,1,1,1,1,1
table6,강화횟수,1,1,1,1,1,1,1,1,1
table7,강화 확률 증가,10,10,10,10,10,10,10,10,10
table8,원거리마스터리,20,20,20,25,25,25,25,25,25
table9,너클마스터리,20,20,20,25,25,25,25,25,25
table10,비홀더버프,4,4,4,4,4,4,4,4,4
table11,샤프,30,30,30,35,40,45,50,55,60
table12,버서크,30,30,30,35,40,45,50,55,60
table13,부스트,2,2,2,2,2,2,2,2,2
table14,쉐도우 파트너,30,30,30,35,40,45,50,55,60
table15,메용,0,15,15,20,25,30,35,40,45
table16,어드밴스드 콤보어택,0,0,30,35,40,45,50,55,60
table17,파이널어택,0,0,0,10,10,10,10,10,10
table18,크리티컬 리인포스,0,0,0,0,30,35,40,45,45
table19,오브마스터리,0,0,0,0,0,30,30,30,30
table20,아드레날린 부스터,0,0,0,0,0,0,20,20,20
table21,포이즌,0,0,0,0,0,0,20,20,20
table22,바이탈 체인,0,0,0,0,0,0,0,30,30
