레벨,비용,누적 비용
1,100000000,100000000
2,200000000,300000000
3,300000000,600000000
4,400000000,1000000000
5,500000000,1500000000
6,600000000,2100000000
7,700000000,2800000000
8,800000000,3600000000
9,900000000,4500000000
10,1000000000,5500000000
11,1100000000,6600000000
12,1200000000,7800000000
13,1300000000,9100000000
14,1400000000,10500000000
15,1500000000,12000000000
16,1600000000,13600000000
17,1700000000,15300000000
18,1800000000,17100000000
19,1900000000,19000000000
20,2000000000,21000000000
21,2100000000,23100000000
22,2200000000,25300000000
23,2300000000,27600000000
24,2400000000,30000000000
25,2500000000,32500000000
26,2600000000,35100000000
27,2700000000,37800000000
28,2800000000,40600000000
29,2900000000,43500000000
30,3000000000,46500000000
31,10000000000,56500000000
32,20000000000,76500000000
33,40000000000,116500000000
34,80000000000,196500000000
35,100000000000,296500000000
36,200000000000,496500000000
37,400000000000,896500000000
38,800000000000,1696500000000
39,1600000000000,3296500000000
40,3200000000000,6496500000000
