레벨,필요 RP,누적 RP
1,1,1
2,1,2
3,2,4
4,2,6
5,3,9
6,3,12
7,4,16
8,4,20
9,5,25
10,5,30
11,6,36
12,6,42
13,7,49
14,7,56
15,8,64
16,8,72
17,9,81
18,9,90
19,10,100
20,10,110
21,11,121
22,11,132
23,12,144
24,12,156
25,13,169
26,13,182
27,14,196
28,14,210
29,15,225
30,15,240
31,16,256
32,16,272
33,17,289
34,17,306
35,18,324
36,18,342
37,19,361
38,19,380
39,20,400
40,20,420
41,21,441
42,21,462
43,22,484
44,22,506
45,23,529
46,23,552
47,24,576
48,24,600
49,25,625
50,25,650
51,26,676
52,26,702
53,27,729
54,27,756
55,28,784
56,28,812
57,29,841
58,29,870
59,30,900
60,30,930
61,31,961
62,31,992
63,32,1024
64,32,1056
65,33,1089
66,33,1122
67,34,1156
68,34,1190
69,35,1225
70,35,1260
71,36,1296
72,36,1332
73,37,1369
74,37,1406
75,38,1444
76,38,1482
77,39,1521
78,39,1560
79,40,1600
80,40,1640
81,41,1681
82,41,1722
83,42,1764
84,42,1806
85,43,1849
86,43,1892
87,44,1936
88,44,1980
89,45,2025
90,45,2070
91,46,2116
92,46,2162
93,47,2209
94,47,2256
95,48,2304
96,48,2352
97,49,2401
98,49,2450
99,50,2500
100,50,2550
101,51,2601
102,51,2652
103,52,2704
104,52,2756
105,53,2809
106,53,2862
107,54,2916
108,54,2970
109,55,3025
110,55,3080
111,56,3136
112,56,3192
113,57,3249
114,57,3306
115,58,3364
116,58,3422
117,59,3481
118,59,3540
119,60,3600
120,60,3660
121,61,3721
122,61,3782
123,62,3844
124,62,3906
125,63,3969
126,63,4032
127,64,4096
128,64,4160
129,65,4225
130,65,4290
131,66,4356
132,66,4422
133,67,4489
134,67,4556
135,68,4624
136,68,4692
137,69,4761
138,69,4830
139,70,4900
140,70,4970
141,71,5041
142,71,5112
143,72,5184
144,72,5256
145,73,5329
146,73,5402
147,74,5476
148,74,5550
149,75,5625
150,75,5700
151,76,5776
152,76,5852
153,77,5929
154,77,6006
155,78,6084
156,78,6162
157,79,6241
158,79,6320
159,80,6400
160,80,6480
161,81,6561
162,81,6642
163,82,6724
164,82,6806
165,83,6889
166,83,6972
167,84,7056
168,84,7140
169,85,7225
170,85,7310
171,86,7396
172,86,7482
173,87,7569
174,87,7656
175,88,7744
176,88,7832
177,89,7921
178,89,8010
179,90,8100
180,90,8190
181,91,8281
182,91,8372
183,92,8464
184,92,8556
185,93,8649
186,93,8742
187,94,8836
188,94,8930
189,95,9025
190,95,9120
191,96,9216
192,96,9312
193,97,9409
194,97,9506
195,98,9604
196,98,9702
197,99,9801
198,99,9900
199,100,10000
200,100,10100
