레벨,버서크 소모값,누적 RP
1,1000,1000
2,2000,3000
3,3000,6000
4,4000,10000
5,5000,15000
6,6000,21000
7,7000,28000
8,8000,36000
9,9000,45000
10,10000,55000
11,11000,66000
12,12000,78000
13,13000,91000
14,14000,105000
15,15000,120000
16,16000,136000
17,17000,153000
18,18000,171000
19,19000,190000
20,20000,210000
21,21000,231000
22,22000,253000
23,23000,276000
24,24000,300000
25,25000,325000
26,26000,351000
27,27000,378000
28,28000,406000
29,29000,435000
30,30000,465000
31,10000000,10465000
32,20000000,30465000
33,30000000,60465000
34,40000000,100465000
35,50000000,150465000
36,100000000,250465000
37,200000000,450465000
38,300000000,750465000
39,400000000,1150465000
40,500000000,1650465000
41,1000000000,2650465000
42,2000000000,4650465000
43,3000000000,7650465000
44,4000000000,11650465000
45,5000000000,16650465000
46,10000000000,26650465000
47,20000000000,46650465000
48,30000000000,76650465000
49,40000000000,116650465000
50,50000000000,166650465000
51,100000000000,266650465000
52,200000000000,466650465000
53,300000000000,766650465000
54,400000000000,1166650465000
55,500000000000,1666650465000
