레벨,소모 RP,누적 RP
1,50000,50000
2,100000,150000
3,150000,300000
4,200000,500000
5,250000,750000
6,300000,1050000
7,350000,1400000
8,400000,1800000
9,450000,2250000
10,500000,2750000
11,550000,3300000
12,600000,3900000
13,650000,4550000
14,700000,5250000
15,750000,6000000
16,800000,6800000
17,850000,7650000
18,900000,8550000
19,950000,9500000
20,1000000,10500000
21,1050000,11550000
22,1100000,12650000
23,1150000,13800000
24,1200000,15000000
25,1250000,16250000
26,1300000,17550000
27,1350000,18900000
28,1400000,20300000
29,1450000,21750000
30,1500000,23250000
31,10000000,33250000
32,20000000,53250000
33,30000000,83250000
34,40000000,123250000
35,50000000,173250000
36,100000000,273250000
37,200000000,473250000
38,300000000,773250000
39,400000000,1173250000
40,500000000,1673250000
41,1000000000,2673250000
42,2000000000,4673250000
43,3000000000,7673250000
44,4000000000,11673250000
45,5000000000,16673250000
46,10000000000,26673250000
47,20000000000,46673250000
48,30000000000,76673250000
49,40000000000,116673250000
50,50000000000,166673250000
51,100000000000,266673250000
52,200000000000,466673250000
53,300000000000,766673250000
54,400000000000,1166673250000
55,500000000000,1666673250000
