파워스트라이크,LV,비용,성능,,슬래시 블러스트,LV,비용,성능,,드래곤버스터,LV,비용,성능,,드래곤 로어,LV,비용,성능,,브랜디쉬,LV,비용,성능,,무기마스터리,LV,비용,성능,성능,,크리티컬샷,LV,비용,성능,성능,,분노,LV,비용,성능,성능,,홀리심볼,LV,비용,성능,,메소업,LV,비용,성능,,피지컬 트레이닝,LV,비용,성능,,블레스,LV,비용,성능,,메디테이션,LV,비용,성능,,드래곤 블러드,LV,비용,성능,성능,,콤보 어택,LV,비용,성능,,크리티컬 스로우,LV,비용,성능,성능,,엘리멘트 엠플리피케이션,LV,비용,성능,,비홀더스버프,LV,비용,성능,성능,성능
파워스트라이크,1,1,165%,,슬래시 블러스트,1,1,72%,,드래곤버스터,1,1,55%,,드래곤 로어,1,1,96%,,브랜디쉬,1,1,135%,,무기마스터리,1,1,명중률+1,숙련도 +15%,,크리티컬샷,1,1,크리티컬확률 12%,크리티컬 데미지 105%,,분노,1,1,물리공격력 +1,마법공격력 +10%,,홀리심볼,1,1,경험치 +102%,,메소업,1,1,메소획득 +3%,,피지컬 트레이닝,1,1,올스텟+1,,블레스,1,2,명중률+1,,메디테이션,1,1,마력+1,,드래곤 블러드,1,5,공격력 +1,마력 +2,,콤보 어택,1,2,최종데미지 +102%,,크리티컬 스로우,1,5,크리티컬 확률 +21%,크리티컬 데미지 +113%,,엘리멘트 엠플리피케이션,1,5,마공+5%,,비홀더스버프,1,80,명중률+10,공격력+1,마력+10
파워스트라이크,2,1,170%,,슬래시 블러스트,2,1,75%,,드래곤버스터,2,1,60%,,드래곤 로어,2,1,102%,,브랜디쉬,2,1,140%,,무기마스터리,2,1,명중률+2,숙련도 +15%,,크리티컬샷,2,1,크리티컬확률 14%,크리티컬 데미지 110%,,분노,2,1,물리공격력 +1,마법공격력 +12%,,홀리심볼,2,1,경험치 +104%,,메소업,2,1,메소획득 +6%,,피지컬 트레이닝,2,1,올스텟+2,,블레스,2,2,명중률+2,,메디테이션,2,1,마력+2,,드래곤 블러드,2,10,공격력 +2,마력 +4,,콤보 어택,2,2,최종데미지 +104%,,크리티컬 스로우,2,10,크리티컬 확률 +22%,크리티컬 데미지 +116%,,엘리멘트 엠플리피케이션,2,10,마공+6%,,비홀더스버프,2,180,명중률+30,공격력+2,마력+20
파워스트라이크,3,1,175%,,슬래시 블러스트,3,1,78%,,드래곤버스터,3,1,65%,,드래곤 로어,3,1,108%,,브랜디쉬,3,1,145%,,무기마스터리,3,1,명중률+3,숙련도 +20%,,크리티컬샷,3,1,크리티컬확률 16%,크리티컬 데미지 115%,,분노,3,1,물리공격력 +2,마법공격력 +14%,,홀리심볼,3,1,경험치 +106%,,메소업,3,1,메소획득 +9%,,피지컬 트레이닝,3,1,올스텟+3,,블레스,3,2,명중률+3,,메디테이션,3,1,마력+3,,드래곤 블러드,3,15,공격력 +3,마력 +6,,콤보 어택,3,2,최종데미지 +106%,,크리티컬 스로우,3,15,크리티컬 확률 +23%,크리티컬 데미지 +119%,,엘리멘트 엠플리피케이션,3,15,마공+7%,,비홀더스버프,3,240,명중률+50,공격력+3,마력+30
파워스트라이크,4,1,180%,,슬래시 블러스트,4,1,81%,,드래곤버스터,4,1,70%,,드래곤 로어,4,1,114%,,브랜디쉬,4,1,150%,,무기마스터리,4,1,명중률+4,숙련도 +20%,,크리티컬샷,4,1,크리티컬확률 18%,크리티컬 데미지 120%,,분노,4,1,물리공격력 +2,마법공격력 +16%,,홀리심볼,4,1,경험치 +108%,,메소업,4,1,메소획득 +12%,,피지컬 트레이닝,4,1,올스텟+4,,블레스,4,2,명중률+4,,메디테이션,4,1,마력+4,,드래곤 블러드,4,20,공격력 +4,마력 +8,,콤보 어택,4,2,최종데미지 +108%,,크리티컬 스로우,4,20,크리티컬 확률 +24%,크리티컬 데미지 +122%,,엘리멘트 엠플리피케이션,4,20,마공+8%,,,,,,,
파워스트라이크,5,1,185%,,슬래시 블러스트,5,1,84%,,드래곤버스터,5,1,75%,,드래곤 로어,5,1,120%,,브랜디쉬,5,1,155%,,무기마스터리,5,1,명중률+5,숙련도 +25%,,크리티컬샷,5,1,크리티컬확률 20%,크리티컬 데미지 125%,,분노,5,1,물리공격력 +3,마법공격력 +18%,,홀리심볼,5,1,경험치 +110%,,메소업,5,1,메소획득 +15%,,피지컬 트레이닝,5,1,올스텟+5,,블레스,5,2,명중률+5,,메디테이션,5,1,마력+5,,드래곤 블러드,5,25,공격력 +4,마력 +8,,콤보 어택,5,2,최종데미지 +110%,,크리티컬 스로우,5,25,크리티컬 확률 +25%,크리티컬 데미지 +125%,,엘리멘트 엠플리피케이션,5,25,마공+9%,,,,,,,
파워스트라이크,6,1,190%,,슬래시 블러스트,6,1,87%,,드래곤버스터,6,1,80%,,드래곤 로어,6,1,126%,,브랜디쉬,6,1,160%,,무기마스터리,6,1,명중률+6,숙련도 +25%,,크리티컬샷,6,1,크리티컬확률 22%,크리티컬 데미지 130%,,분노,6,1,물리공격력 +3,마법공격력 +20%,,홀리심볼,6,1,경험치 +112%,,메소업,6,1,메소획득 +18%,,피지컬 트레이닝,6,1,올스텟+6,,블레스,6,2,명중률+6,,메디테이션,6,1,마력+6,,드래곤 블러드,6,30,공격력 +5,마력 +10,,콤보 어택,6,2,최종데미지 +112%,,크리티컬 스로우,6,30,크리티컬 확률 +26%,크리티컬 데미지 +128%,,엘리멘트 엠플리피케이션,6,30,마공+10%,,,,,,,
파워스트라이크,7,1,195%,,슬래시 블러스트,7,1,90%,,드래곤버스터,7,1,85%,,드래곤 로어,7,1,132%,,브랜디쉬,7,1,165%,,무기마스터리,7,1,명중률+7,숙련도 +30%,,크리티컬샷,7,1,크리티컬확률 24%,크리티컬 데미지 135%,,분노,7,1,물리공격력 +4,마법공격력 +22%,,홀리심볼,7,1,경험치 +114%,,메소업,7,1,메소획득 +21%,,피지컬 트레이닝,7,1,올스텟+7,,블레스,7,2,명중률+7,,메디테이션,7,1,마력+7,,드래곤 블러드,7,35,공격력 +5,마력 +10,,콤보 어택,7,2,최종데미지 +114%,,크리티컬 스로우,7,35,크리티컬 확률 +27%,크리티컬 데미지 +131%,,엘리멘트 엠플리피케이션,7,35,마공+11%,,,,,,,
파워스트라이크,8,1,200%,,슬래시 블러스트,8,1,93%,,드래곤버스터,8,1,90%,,드래곤 로어,8,1,138%,,브랜디쉬,8,1,170%,,무기마스터리,8,1,명중률+8,숙련도 +30%,,크리티컬샷,8,1,크리티컬확률 26%,크리티컬 데미지 140%,,분노,8,1,물리공격력 +4,마법공격력 +24%,,홀리심볼,8,1,경험치 +116%,,메소업,8,1,메소획득 +24%,,피지컬 트레이닝,8,1,올스텟+8,,블레스,8,2,명중률+8,,메디테이션,8,1,마력+8,,드래곤 블러드,8,40,공격력 +6,마력 +12,,콤보 어택,8,2,최종데미지 +116%,,크리티컬 스로우,8,40,크리티컬 확률 +28%,크리티컬 데미지 +134%,,엘리멘트 엠플리피케이션,8,40,마공+12%,,,,,,,
파워스트라이크,9,1,205%,,슬래시 블러스트,9,1,96%,,드래곤버스터,9,1,95%,,드래곤 로어,9,1,144%,,브랜디쉬,9,1,175%,,무기마스터리,9,1,명중률+9,숙련도 +35%,,크리티컬샷,9,1,크리티컬확률 28%,크리티컬 데미지 145%,,분노,9,1,물리공격력 +5,마법공격력 +26%,,홀리심볼,9,1,경험치 +118%,,메소업,9,1,메소획득 +27%,,피지컬 트레이닝,9,1,올스텟+9,,블레스,9,2,명중률+9,,메디테이션,9,1,마력+9,,드래곤 블러드,9,45,공격력 +6,마력 +12,,콤보 어택,9,2,최종데미지 +118%,,크리티컬 스로우,9,45,크리티컬 확률 +29%,크리티컬 데미지 +137%,,엘리멘트 엠플리피케이션,9,45,마공+13%,,,,,,,
파워스트라이크,10,1,210%,,슬래시 블러스트,10,1,99%,,드래곤버스터,10,1,100%,,드래곤 로어,10,1,150%,,브랜디쉬,10,1,180%,,무기마스터리,10,1,명중률+10,숙련도 +35%,,크리티컬샷,10,1,크리티컬확률 30%,크리티컬 데미지 150%,,분노,10,1,물리공격력 +5,마법공격력 +28%,,홀리심볼,10,1,경험치 +120%,,메소업,10,1,메소획득 +30%,,피지컬 트레이닝,10,1,올스텟+10,,블레스,10,2,명중률+10,,메디테이션,10,1,마력+10,,드래곤 블러드,10,50,공격력 +7,마력 +14,,콤보 어택,10,2,최종데미지 +120%,,크리티컬 스로우,10,50,크리티컬 확률 +30%,크리티컬 데미지 +140%,,엘리멘트 엠플리피케이션,10,50,마공+14%,,,,,,,
파워스트라이크,11,1,215%,,슬래시 블러스트,11,1,102%,,드래곤버스터,11,1,104%,,드래곤 로어,11,1,155%,,브랜디쉬,11,1,184%,,무기마스터리,11,1,명중률+11,숙련도 +40%,,크리티컬샷,11,1,크리티컬확률 31%,크리티컬 데미지 155%,,분노,11,1,물리공격력 +6,마법공격력 +31%,,홀리심볼,11,1,경험치 +122%,,메소업,11,1,메소획득 +32%,,피지컬 트레이닝,11,1,올스텟+11,,블레스,11,2,명중률+11,,메디테이션,11,1,마력+11,,드래곤 블러드,11,55,공격력 +7,마력 +14,,콤보 어택,11,2,최종데미지 +121%,,크리티컬 스로우,11,55,크리티컬 확률 +31%,크리티컬 데미지 +143%,,엘리멘트 엠플리피케이션,11,55,마공+15%,,,,,,,
파워스트라이크,12,1,220%,,슬래시 블러스트,12,1,105%,,드래곤버스터,12,1,108%,,드래곤 로어,12,1,160%,,브랜디쉬,12,1,188%,,무기마스터리,12,1,명중률+12,숙련도 +40%,,크리티컬샷,12,1,크리티컬확률 32%,크리티컬 데미지 160%,,분노,12,1,물리공격력 +6,마법공격력 +33%,,홀리심볼,12,1,경험치 +124%,,메소업,12,1,메소획득 +34%,,피지컬 트레이닝,12,1,올스텟+12,,블레스,12,2,명중률+12,,메디테이션,12,1,마력+12,,드래곤 블러드,12,60,공격력 +8,마력 +16,,콤보 어택,12,2,최종데미지 +122%,,크리티컬 스로우,12,60,크리티컬 확률 +32%,크리티컬 데미지 +146%,,엘리멘트 엠플리피케이션,12,60,마공+16%,,,,,,,
파워스트라이크,13,1,225%,,슬래시 블러스트,13,1,108%,,드래곤버스터,13,1,112%,,드래곤 로어,13,1,165%,,브랜디쉬,13,1,192%,,무기마스터리,13,1,명중률+13,숙련도 +45%,,크리티컬샷,13,1,크리티컬확률 33%,크리티컬 데미지 165%,,분노,13,1,물리공격력 +7,마법공격력 +35%,,홀리심볼,13,1,경험치 +126%,,메소업,13,1,메소획득 +36%,,피지컬 트레이닝,13,1,올스텟+13,,블레스,13,2,명중률+13,,메디테이션,13,1,마력+13,,드래곤 블러드,13,65,공격력 +8,마력 +16,,콤보 어택,13,2,최종데미지 +123%,,크리티컬 스로우,13,65,크리티컬 확률 +33%,크리티컬 데미지 +149%,,엘리멘트 엠플리피케이션,13,65,마공+17%,,,,,,,
