파워스트라이크,LV,비용,성능
파워스트라이크,1,1,165%
파워스트라이크,2,1,170%
파워스트라이크,3,1,175%
파워스트라이크,4,1,180%
파워스트라이크,5,1,185%
파워스트라이크,6,1,190%
파워스트라이크,7,1,195%
파워스트라이크,8,1,200%
파워스트라이크,9,1,205%
파워스트라이크,10,1,210%
파워스트라이크,11,1,215%
파워스트라이크,12,1,220%
파워스트라이크,13,1,225%
파워스트라이크,14,1,230%
파워스트라이크,15,1,235%
파워스트라이크,16,1,240%
파워스트라이크,17,1,245%
파워스트라이크,18,1,250%
파워스트라이크,19,1,255%
파워스트라이크,20,1,260%
,,20,
214170,,,
분노 30LV 5520,,,
홀리심볼 40LV 5530,,,
메소업 30LV 5520,,,
피지컬 40LV 5530,,,
블래스 30LV 5540,,,
드래곤 블러드 30LV 6550,,,
콤보어택 40LV 5560,,,
크리티컬 스로우 40LV 8825,,,
비홀더스 버프 3LV 500,,,
물리딜러 필요한 54595 SP,,,
모든스킬 마스터 필요한 SP 76670 SP,,,
하지만 350때 35350 SP 밖에 얻지못한다,,,
엘리멘탈 엠플리케이션 가격조정,,,
드래곤 블러드 가격조정,,,
크리티컬 스로우 가격조정,,,
추가 SP 확보,,,
