라운드,수호자의돌,혼줌,젬
15라운드,21개,2개,23개
18라운드,26개,2개,23개
21라운드,31개,4개,25개
24라운드,36개,4개,25개
27라운드,42개,5개,26개
30라운드,47개,7개,28개
33라운드,52개,7개,28개
36라운드,57개,9개,30개
39라운드,63개,9개,30개
42라운드,68개,11개,32개
45라운드,73개,14개,35개
48라운드,79개,14개,35개
51라운드,84개,19개,40개
54라운드,89개,19개,40개
57라운드,,,
60라운드,,,
63라운드,,,
66라운드,,,
69라운드,,,
72라운드,,,
75라운드,,,
78라운드,,,
81라운드,,,
84라운드,,,
87라운드,,,
90라운드,,,
93라운드,,,
96라운드,,,
99라운드,,,
102라운드,,,
105라운드,,,
108라운드,,,
111라운드,,,
114라운드,,,
117라운드,,,
120라운드,,,
123라운드,,,
126라운드,,,
129라운드,,,
132라운드,,,
135라운드,,,
138라운드,,,
141라운드,,,
144라운드,,,
147라운드,,,
150라운드,,,
153라운드,,,
156라운드,,,
159라운드,,,
162라운드,,,
165라운드,,,
168라운드,,,
171라운드,,,
174라운드,,,
177라운드,,,
180라운드,,,
183라운드,,,
186라운드,,,
189라운드,,,
192라운드,,,
195라운드,,,
198라운드,,,
201라운드,,,
204라운드,,,
207라운드,,,
210라운드,,,
213라운드,,,
216라운드,,,
219라운드,,,
