항목,설명,0초월,1초월,2초월,3초월,4초월,5초월,6초월,7초월,8초월,9초월,10초월
성스러운 힘(단위: %),모든 스텟 증가,2,4,9,13,18,25,35,40,,,
마력 폭주 (단위: %),오브 데미지 증가,-,-,-,-,20,40,80,100,,,
연쇄 일격 (단위: 상·하한 배율),"파이널어택 확률 ,데미지 증가",-,-,-,15 / 1.2,18 / 1.3,24 / 1.4,30 / 1.5,35 / 1.6,,,
시간의 틈 (단위: %),모든 스킬 쿨타임 감소,3,5,9,13,17,22,30,35,,,
파멸의 기운 (단위: 증가량),슈퍼 크리티컬 확률 증가,0.2,0.8,1.6,2.2,3,3.8,5,8,,,
처형자의 일격 (단위: 배율),HP 45% 이하 적 추가 피해,1.3,1.5,1.75,2,2.25,2.5,3,4,,,
극대화의 비전(단위: 배율),크리티컬 시 최종 데미지 증가,1.03,1.08,1.13,1.18,1.23,1.3,1.4,1.7,,,
윤회의 축복 (단위: 배율),환생시 RP 획득량 증가,1.05,1.1,1.2,1.3,1.45,1.6,2,2.5,,,
풍요의 축복 (단위: 배율),모든 드롭률 및 능력치 획득 확률 증가,1.05,1.1,1.2,1.3,1.45,1.6,2,2.5,,,
지혜의 빛 (단위: 배율),모든 경험치 획득량 증가,1.05,1.1,1.2,1.3,1.45,1.6,2,2.5,,,
